id,submit,wait in,input,wait run,run,wait out,output,complete,wait,response
6.0,2751.0,0.0,656.5,0.0,3660.5,0.0,2050.0,9118.0,0.0,6367.0
1.0,0.0,0.0,757.5,0.0,7574.0,0.0,1125.0,9456.5,0.0,9456.5
2.0,7.0,0.0,505.0,0.0,7573.5,0.0,1875.0,9960.5,0.0,9953.5
8.0,6553.0,0.0,404.0,0.0,2747.25,0.0,1625.0,11329.25,0.0,4776.25
3.0,1590.0,0.0,303.0,0.0,7570.25,0.0,2000.0,11463.25,0.0,9873.25
5.0,2566.0,0.0,808.0,0.0,7576.5,0.0,2025.0,12975.5,0.0,10409.5
9.0,10355.0,0.0,681.75,0.0,577.75,0.0,2100.0,13714.5,0.0,3359.5
7.0,5485.0,0.0,606.0,0.0,6156.25,0.0,1475.0,13722.25,0.0,8237.25
10.0,14158.0,0.0,328.25,0.0,919.5,0.0,1150.0,16555.75,0.0,2397.75
4.0,2205.0,0.0,378.75,0.0,14983.0,0.0,1625.0,19191.75,0.0,16986.75
11.0,14313.0,0.0,883.75,0.0,7567.0,0.0,2475.0,25238.75,0.0,10925.75
18.0,28961.0,0.0,530.25,0.0,335.0,0.0,1500.0,31326.25,0.0,2365.25
16.0,28949.0,0.0,479.75,0.0,341.5,0.0,1850.0,31620.25,0.0,2671.25
12.0,21941.0,0.0,883.75,0.0,7585.25,0.0,1975.0,32385.0,0.0,10444.0
17.0,28956.0,0.0,580.75,0.0,911.75,0.0,2325.0,32773.5,0.0,3817.5
13.0,26546.0,0.0,479.75,0.0,7600.25,0.0,2225.0,36851.0,0.0,10305.0
14.0,27521.0,0.0,429.25,0.0,7593.5,0.0,1800.0,37343.75,0.0,9822.75
15.0,28617.0,0.0,606.0,0.0,7579.25,0.0,1075.0,37877.25,0.0,9260.25
21.0,35060.0,0.0,808.0,0.0,3660.5,0.0,1375.0,40903.5,0.0,5843.5
29.0,50584.0,0.0,404.0,0.0,155.0,0.0,1200.0,52343.0,0.0,1759.0
37.0,50869.0,0.0,353.5,0.0,5493.0,0.0,1075.0,57790.5,0.0,6921.5
24.0,50421.0,0.0,328.25,0.0,6276.25,0.0,1375.0,58400.5,0.0,7979.5
35.0,50825.0,0.0,429.25,0.0,6018.25,0.0,1150.0,58422.5,0.0,7597.5
23.0,50303.0,0.0,429.25,0.0,6552.25,0.0,1325.0,58609.5,0.0,8306.5
27.0,50485.0,0.0,555.5,0.0,6232.5,0.0,1400.0,58673.0,0.0,8188.0
34.0,50805.0,0.0,808.0,0.0,6152.0,0.0,1275.0,59040.0,0.0,8235.0
26.0,50465.0,0.0,883.75,0.0,6301.0,0.0,1475.0,59124.75,0.0,8659.75
32.0,50765.0,0.0,252.5,0.0,6257.5,0.0,1975.0,59250.0,0.0,8485.0
30.0,50707.0,0.0,303.0,0.0,6290.5,0.0,2025.0,59325.5,0.0,8618.5
33.0,50784.0,0.0,555.5,0.0,6219.25,0.0,2000.0,59558.75,0.0,8774.75
36.0,50847.0,0.0,782.75,0.0,5774.75,0.0,2175.0,59579.5,0.0,8732.5
25.0,50445.0,0.0,858.5,0.0,6266.25,0.0,2050.0,59619.75,0.0,9174.75
28.0,50503.0,0.0,656.5,0.0,6269.5,0.0,2400.0,59829.0,0.0,9326.0
31.0,50744.0,0.0,454.5,0.0,6321.0,0.0,2425.0,59944.5,0.0,9200.5
48.0,51265.0,0.0,277.75,0.0,9183.75,0.0,2125.0,62851.5,0.0,11586.5
47.0,51203.0,0.0,404.0,0.0,9523.75,0.0,2050.0,63180.75,0.0,11977.75
49.0,51287.0,0.0,808.0,0.0,9190.0,0.0,2175.0,63460.0,0.0,12173.0
45.0,51102.0,0.0,378.75,0.0,11055.25,0.0,1100.0,63636.0,0.0,12534.0
50.0,51305.0,0.0,732.25,0.0,9202.0,0.0,2425.0,63664.25,0.0,12359.25
51.0,60729.0,0.0,833.25,0.0,283.5,0.0,1925.0,63770.75,0.0,3041.75
40.0,51097.0,0.0,328.25,0.0,11042.0,0.0,1325.0,63792.25,0.0,12695.25
46.0,51103.0,0.0,404.0,0.0,11044.25,0.0,1275.0,63826.25,0.0,12723.25
41.0,51098.0,0.0,429.25,0.0,11043.0,0.0,1400.0,63970.25,0.0,12872.25
42.0,51099.0,0.0,328.25,0.0,11036.5,0.0,1925.0,64388.75,0.0,13289.75
43.0,51100.0,0.0,883.75,0.0,11047.5,0.0,1400.0,64431.25,0.0,13331.25
44.0,51101.0,0.0,555.5,0.0,10991.75,0.0,2000.0,64648.25,0.0,13547.25
39.0,51097.0,0.0,959.5,0.0,11004.5,0.0,2200.0,65261.0,0.0,14164.0
53.0,62770.0,0.0,328.25,0.0,2921.0,0.0,1825.0,67844.25,0.0,5074.25
72.0,65734.0,0.0,378.75,0.0,161.75,0.0,1850.0,68124.5,0.0,2390.5
19.0,31539.0,0.0,479.75,0.0,36365.5,0.0,1400.0,69784.25,0.0,38245.25
79.0,66695.0,0.0,757.5,0.0,145.25,0.0,2300.0,69897.75,0.0,3202.75
78.0,66365.0,0.0,782.75,0.0,1082.5,0.0,2450.0,70680.25,0.0,4315.25
38.0,50888.0,0.0,631.25,0.0,17855.75,106.5,1225.0,70706.5,106.5,19818.5
86.0,68943.0,0.0,404.0,0.0,134.5,302.75,1050.0,70834.25,302.75,1891.25
80.0,67986.0,0.0,656.5,136.0,147.0,449.5,1700.0,71075.0,585.5,3089.0
73.0,65755.0,0.0,454.5,0.0,2995.0,693.25,1950.0,71847.75,693.25,6092.75
74.0,65784.0,0.0,732.25,0.0,3672.25,491.75,1525.0,72205.25,491.75,6421.25
87.0,69588.0,196.25,328.25,76.0,3673.75,0.0,1550.0,75412.25,272.25,5824.25
84.0,68290.0,0.0,959.5,0.0,4575.5,0.0,1950.0,75775.0,0.0,7485.0
62.0,63292.0,0.0,303.0,0.0,11072.5,0.0,1550.0,76217.5,0.0,12925.5
60.0,63290.0,0.0,631.25,0.0,11094.0,47.75,1175.0,76238.0,47.75,12948.0
56.0,63286.0,0.0,883.75,0.0,11099.5,7.75,1075.0,76352.0,7.75,13066.0
64.0,63294.0,0.0,378.75,0.0,11094.25,0.0,1825.0,76592.0,0.0,13298.0
55.0,63285.0,0.0,833.25,0.0,11073.5,70.75,1350.0,76612.5,70.75,13327.5
66.0,63296.0,0.0,782.75,0.0,11062.75,50.25,1425.0,76616.75,50.25,13320.75
57.0,63287.0,0.0,252.5,0.0,11067.0,0.0,2050.0,76656.5,0.0,13369.5
89.0,74049.0,0.0,909.0,57.25,247.25,6.75,1450.0,76719.25,64.0,2670.25
54.0,63284.0,0.0,984.75,0.0,11073.5,0.0,1425.0,76767.25,0.0,13483.25
67.0,63297.0,0.0,555.5,0.0,11043.25,0.0,1875.0,76770.75,0.0,13473.75
63.0,63293.0,0.0,454.5,0.0,11070.5,323.5,2000.0,77141.5,323.5,13848.5
61.0,63291.0,0.0,378.75,0.0,11075.25,0.0,2425.0,77170.0,0.0,13879.0
90.0,74055.0,0.0,782.75,0.0,777.5,622.75,1000.0,77238.0,622.75,3183.0
91.0,74064.0,0.0,808.0,0.0,416.5,123.75,1975.0,77387.25,123.75,3323.25
59.0,63289.0,0.0,707.0,0.0,11067.0,552.25,1775.0,77390.25,552.25,14101.25
71.0,63301.0,0.0,353.5,0.0,11116.75,566.25,2125.0,77462.5,566.25,14161.5
83.0,68244.0,0.0,378.75,0.0,7263.0,312.75,1350.0,77548.5,312.75,9304.5
69.0,63299.0,0.0,909.0,0.0,11168.75,840.75,1525.0,77742.5,840.75,14443.5
65.0,63295.0,0.0,808.0,0.0,11050.0,622.0,1975.0,77750.0,622.0,14455.0
70.0,63300.0,0.0,833.25,0.0,11143.75,1315.0,1325.0,77917.0,1315.0,14617.0
82.0,68233.0,0.0,883.75,0.0,7273.75,380.25,1300.0,78070.75,380.25,9837.75
92.0,74072.0,0.0,732.25,0.0,1876.0,0.0,1525.0,78205.25,0.0,4133.25
58.0,63288.0,0.0,707.0,0.0,11084.75,1310.75,1875.0,78265.5,1310.75,14977.5
20.0,32393.0,0.0,303.0,0.0,43377.5,543.25,1725.0,78341.75,543.25,45948.75
68.0,63298.0,0.0,959.5,0.0,11080.0,1429.75,1650.0,78417.25,1429.75,15119.25
81.0,68223.0,0.0,555.5,147.0,7273.0,458.0,2125.0,78781.5,605.0,10558.5
97.0,77034.0,0.0,378.75,0.0,170.5,0.0,1275.0,78858.25,0.0,1824.25
96.0,76703.0,16.25,328.25,94.0,287.75,0.0,2050.0,79479.25,110.25,2776.25
93.0,75822.0,251.5,934.25,0.0,151.0,0.0,2350.0,79508.75,251.5,3686.75
95.0,76608.0,4.5,934.25,0.0,134.75,0.0,2275.0,79956.5,4.5,3348.5
88.0,73390.0,0.0,959.5,0.0,3682.0,0.0,1950.0,79981.5,0.0,6591.5
99.0,77922.0,0.0,833.25,0.0,230.75,0.0,1100.0,80086.0,0.0,2164.0
100.0,78160.0,0.0,909.0,0.0,160.0,0.0,1025.0,80254.0,0.0,2094.0
94.0,76062.0,0.0,454.5,75.5,1819.5,0.0,2275.0,80686.5,75.5,4624.5
101.0,80592.0,0.0,782.75,0.0,142.0,0.0,1100.0,82616.75,0.0,2024.75
103.0,81364.0,0.0,277.75,0.0,131.0,0.0,1250.0,83022.75,0.0,1658.75
98.0,77192.0,0.0,479.75,0.0,3666.75,0.0,2000.0,83338.5,0.0,6146.5
