id,submit,wait in,input,wait run,run,wait out,output,complete,wait,response
3.0,1.0,0.0,250.0,1286.0,13686.0,0.0,125.0,15348.0,1286.0,15347.0
120.0,121.0,0.0,125.0,1150.0,16432.0,0.0,1125.0,18953.0,1150.0,18832.0
16.0,16.0,0.0,3125.0,40583.0,960.0,0.0,500.0,45184.0,40583.0,45168.0
113.0,114.0,0.0,500.0,40996.0,2116.0,250.0,2500.0,46476.0,41246.0,46362.0
115.0,117.0,0.0,250.0,41229.0,4989.0,0.0,250.0,46835.0,41229.0,46718.0
114.0,116.0,0.0,3125.0,40485.0,1490.0,5.0,2500.0,47721.0,40490.0,47605.0
111.0,112.0,0.0,250.0,41115.0,1633.0,21.0,4875.0,48006.0,41136.0,47894.0
8.0,8.0,0.0,1500.0,40950.0,3108.0,8.0,2500.0,48074.0,40958.0,48066.0
80.0,92.0,0.0,1375.0,40991.0,3759.0,236.0,2000.0,48453.0,41227.0,48361.0
89.0,97.0,0.0,625.0,41038.0,2985.0,208.0,4875.0,49828.0,41246.0,49731.0
51.0,57.0,0.0,4875.0,40939.0,398.0,184.0,3875.0,50328.0,41123.0,50271.0
99.0,102.0,0.0,5250.0,41233.0,1842.0,9160.0,125.0,57712.0,50393.0,57610.0
107.0,110.0,0.0,2750.0,40434.0,3871.0,9248.0,1625.0,58038.0,49682.0,57928.0
109.0,112.0,0.0,5250.0,41240.0,2871.0,8565.0,125.0,58163.0,49805.0,58051.0
6.0,5.0,0.0,3000.0,40579.0,4028.0,8801.0,2375.0,58788.0,49380.0,58783.0
101.0,104.0,0.0,4500.0,40855.0,4135.0,8602.0,625.0,58821.0,49457.0,58717.0
156.0,156.0,2890.0,1500.0,40913.0,3768.0,8561.0,1250.0,59038.0,52364.0,58882.0
87.0,96.0,0.0,3625.0,40664.0,6414.0,7781.0,500.0,59080.0,48445.0,58984.0
147.0,147.0,2364.0,2875.0,41216.0,3795.0,7835.0,1000.0,59232.0,51415.0,59085.0
79.0,92.0,0.0,2125.0,40759.0,6513.0,8549.0,1500.0,59538.0,49308.0,59446.0
21.0,22.0,0.0,3125.0,40577.0,4151.0,9477.0,2250.0,59602.0,50054.0,59580.0
170.0,163.0,3609.0,1625.0,41205.0,3384.0,8210.0,1750.0,59946.0,53024.0,59783.0
102.0,104.0,0.0,4000.0,40595.0,6153.0,7728.0,2500.0,61080.0,48323.0,60976.0
91.0,97.0,0.0,3750.0,40710.0,6907.0,7821.0,1875.0,61160.0,48531.0,61063.0
116.0,119.0,0.0,2500.0,40602.0,5031.0,9335.0,3625.0,61212.0,49937.0,61093.0
144.0,145.0,2154.0,1375.0,40619.0,5161.0,8434.0,3625.0,61513.0,51207.0,61368.0
100.0,102.0,0.0,5625.0,41783.0,4273.0,7551.0,2250.0,61584.0,49334.0,61482.0
29.0,28.0,0.0,2000.0,40904.0,4900.0,9437.0,4375.0,61644.0,50341.0,61616.0
210.0,204.0,5158.0,125.0,41464.0,1520.0,9304.0,3875.0,61650.0,55926.0,61446.0
17.0,19.0,0.0,1250.0,41184.0,8026.0,7883.0,3625.0,61987.0,49067.0,61968.0
112.0,113.0,0.0,3375.0,40769.0,2737.0,9396.0,5625.0,62015.0,50165.0,61902.0
122.0,124.0,0.0,4125.0,40704.0,5789.0,7838.0,3625.0,62205.0,48542.0,62081.0
110.0,112.0,0.0,625.0,41056.0,10151.0,10109.0,250.0,62303.0,51165.0,62191.0
78.0,89.0,0.0,1500.0,41041.0,4321.0,8568.0,6875.0,62394.0,49609.0,62305.0
149.0,147.0,2486.0,3250.0,41889.0,1190.0,8826.0,4750.0,62538.0,53201.0,62391.0
9.0,8.0,0.0,6500.0,43971.0,815.0,7502.0,3750.0,62546.0,51473.0,62538.0
148.0,147.0,2472.0,3125.0,41977.0,3764.0,7849.0,3250.0,62584.0,52298.0,62437.0
92.0,99.0,0.0,3250.0,40837.0,7238.0,7721.0,3625.0,62770.0,48558.0,62671.0
95.0,101.0,0.0,6500.0,44141.0,1745.0,9907.0,500.0,62894.0,54048.0,62793.0
209.0,203.0,5159.0,875.0,43749.0,746.0,7790.0,4375.0,62897.0,56698.0,62694.0
93.0,99.0,0.0,4250.0,41005.0,6763.0,9936.0,875.0,62928.0,50941.0,62829.0
86.0,96.0,0.0,5500.0,41480.0,2371.0,8428.0,5125.0,63000.0,49908.0,62904.0
121.0,121.0,0.0,1750.0,40978.0,9050.0,10154.0,1000.0,63053.0,51132.0,62932.0
11.0,12.0,0.0,3625.0,40642.0,8431.0,9739.0,750.0,63199.0,50381.0,63187.0
104.0,107.0,0.0,4750.0,40864.0,1257.0,9139.0,7250.0,63367.0,50003.0,63260.0
135.0,136.0,499.0,4375.0,41086.0,6907.0,9543.0,1125.0,63671.0,51128.0,63535.0
36.0,37.0,0.0,750.0,41062.0,11014.0,9675.0,1250.0,63788.0,50737.0,63751.0
96.0,101.0,0.0,4875.0,40921.0,7525.0,9578.0,875.0,63875.0,50499.0,63774.0
