id,submit,wait in,input,wait run,run,wait out,output,complete,wait,response
93.0,110.0,0.0,1.0,0.0,1139.0,0.0,2000.0,3250.0,0.0,3140.0
53.0,64.0,0.0,1.375,0.0,4283.375,0.0,2750.0,7098.75,0.0,7034.75
99.0,114.0,0.0,2.375,0.0,2594.375,0.0,4750.0,7460.75,0.0,7346.75
51.0,62.0,0.0,2.625,0.0,2900.625,0.0,5250.0,8215.25,0.0,8153.25
91.0,106.0,0.0,2.625,0.0,3034.625,0.0,5250.0,8393.25,0.0,8287.25
100.0,119.0,0.0,3.0,0.0,3151.0,0.0,6000.0,9273.0,0.0,9154.0
103.0,121.0,0.0,3.25,0.0,3374.25,0.0,6500.0,9998.5,0.0,9877.5
72.0,89.0,0.0,3.5,0.0,3657.5,0.0,7000.0,10750.0,0.0,10661.0
34.0,44.0,0.0,1.625,0.0,7770.625,0.0,3250.0,11066.25,0.0,11022.25
95.0,110.0,0.0,3.625,0.0,3748.625,0.0,7250.0,11112.25,0.0,11002.25
79.0,97.0,0.0,3.625,0.0,3766.625,0.0,7250.0,11117.25,0.0,11020.25
37.0,46.0,0.0,1.875,0.0,7360.875,0.0,3750.0,11158.75,0.0,11112.75
28.0,38.0,0.0,1.75,0.0,8014.75,0.0,3500.0,11554.5,0.0,11516.5
9.0,14.0,0.0,3.75,0.0,4318.75,0.0,7500.0,11836.5,0.0,11822.5
62.0,77.0,0.0,0.5,0.0,11561.5,0.0,1000.0,12639.0,0.0,12562.0
84.0,99.0,0.0,2.75,0.0,7316.75,0.0,5500.0,12918.5,0.0,12819.5
25.0,35.0,0.0,2.5,0.0,8758.5,0.0,5000.0,13796.0,0.0,13761.0
29.0,39.0,0.0,4.625,0.0,4779.625,0.0,9250.0,14073.25,0.0,14034.25
32.0,40.0,0.0,2.625,0.0,8873.625,0.0,5250.0,14166.25,0.0,14126.25
31.0,40.0,0.0,2.625,0.0,8937.625,0.0,5250.0,14230.25,0.0,14190.25
5.0,9.0,0.0,2.25,0.0,9823.25,0.0,4500.0,14334.5,0.0,14325.5
80.0,97.0,0.0,4.75,0.0,4888.75,0.0,9500.0,14490.5,0.0,14393.5
108.0,125.0,0.0,4.75,0.0,4879.75,0.0,9500.0,14509.5,0.0,14384.5
26.0,35.0,0.0,2.75,0.0,9048.75,0.0,5500.0,14586.5,0.0,14551.5
98.0,112.0,0.0,3.625,0.0,7283.625,0.0,7250.0,14649.25,0.0,14537.25
