id,submit,wait in,input,wait run,run,wait out,output,complete,wait,response
10.0,15.0,0.0,1250.0,0.0,1161.0,0.0,375.0,2801.0,0.0,2786.0
146.0,162.0,0.0,250.0,149.0,4530.0,0.0,1625.0,6716.0,149.0,6554.0
135.0,152.0,0.0,1250.0,68.0,4157.0,348.0,3250.0,9225.0,416.0,9073.0
8.0,11.0,0.0,1125.0,1644.0,5733.0,0.0,1000.0,9513.0,1644.0,9502.0
9.0,12.0,0.0,2375.0,2918.0,1190.0,24.0,3000.0,9519.0,2942.0,9507.0
33.0,27.0,0.0,1875.0,910.0,7080.0,0.0,625.0,10517.0,910.0,10490.0
16.0,17.0,0.0,3000.0,5200.0,710.0,100.0,2375.0,11402.0,5300.0,11385.0
30.0,24.0,0.0,750.0,1257.0,8283.0,0.0,1750.0,12064.0,1257.0,12040.0
84.0,77.0,0.0,500.0,1250.0,6689.0,1022.0,3875.0,13413.0,2272.0,13336.0
137.0,154.0,0.0,250.0,0.0,11363.0,69.0,1750.0,13586.0,69.0,13432.0
178.0,191.0,468.0,1250.0,1110.0,2759.0,4143.0,4125.0,14046.0,5721.0,13855.0
175.0,189.0,281.0,1000.0,0.0,772.0,7715.0,4375.0,14332.0,7996.0,14143.0
150.0,164.0,0.0,2375.0,4278.0,4872.0,699.0,3875.0,16263.0,4977.0,16099.0
58.0,46.0,0.0,2000.0,990.0,12948.0,0.0,875.0,16859.0,990.0,16813.0
90.0,87.0,0.0,3750.0,8165.0,3263.0,8.0,1625.0,16898.0,8173.0,16811.0
106.0,113.0,0.0,3000.0,5254.0,5296.0,118.0,3125.0,16906.0,5372.0,16793.0
32.0,27.0,0.0,1500.0,261.0,9746.0,1921.0,4375.0,17830.0,2182.0,17803.0
110.0,117.0,0.0,1125.0,1280.0,6651.0,4449.0,4500.0,18122.0,5729.0,18005.0
29.0,23.0,0.0,3875.0,8746.0,3900.0,263.0,2250.0,19057.0,9009.0,19034.0
204.0,222.0,2705.0,750.0,8189.0,6153.0,15.0,1125.0,19159.0,10909.0,18937.0
72.0,62.0,0.0,750.0,12215.0,5779.0,79.0,625.0,19510.0,12294.0,19448.0
1.0,2.0,0.0,2500.0,3173.0,8560.0,1551.0,3875.0,19661.0,4724.0,19659.0
141.0,158.0,0.0,1125.0,879.0,13124.0,296.0,4375.0,19957.0,1175.0,19799.0
23.0,20.0,0.0,2750.0,4918.0,10418.0,0.0,2500.0,20606.0,4918.0,20586.0
233.0,254.0,4421.0,125.0,10985.0,3100.0,151.0,1750.0,20786.0,15557.0,20532.0
49.0,38.0,0.0,1750.0,4456.0,13677.0,36.0,2250.0,22207.0,4492.0,22169.0
158.0,174.0,1505.0,3125.0,11001.0,4925.0,0.0,1625.0,22355.0,12506.0,22181.0
43.0,35.0,0.0,2250.0,3297.0,14913.0,11.0,1875.0,22381.0,3308.0,22346.0
198.0,215.0,2307.0,250.0,5192.0,11388.0,215.0,2875.0,22442.0,7714.0,22227.0
44.0,36.0,0.0,2500.0,4253.0,13234.0,1.0,3500.0,23524.0,4254.0,23488.0
41.0,34.0,0.0,625.0,7482.0,15662.0,0.0,750.0,24553.0,7482.0,24519.0
27.0,22.0,0.0,2500.0,10022.0,11850.0,60.0,125.0,24579.0,10082.0,24557.0
133.0,150.0,0.0,2375.0,4139.0,14546.0,81.0,3625.0,24916.0,4220.0,24766.0
99.0,100.0,0.0,3750.0,15355.0,5092.0,0.0,750.0,25047.0,15355.0,24947.0
25.0,21.0,0.0,250.0,5357.0,11006.0,3889.0,4625.0,25148.0,9246.0,25127.0
156.0,170.0,1113.0,1875.0,6377.0,4518.0,6737.0,4875.0,25665.0,14227.0,25495.0
7.0,10.0,0.0,4375.0,9313.0,11897.0,0.0,125.0,25720.0,9313.0,25710.0
71.0,62.0,0.0,2750.0,5253.0,13109.0,486.0,4125.0,25785.0,5739.0,25723.0
124.0,141.0,0.0,1625.0,7369.0,16050.0,0.0,1125.0,26310.0,7369.0,26169.0
186.0,204.0,1323.0,2750.0,11480.0,5384.0,672.0,4625.0,26438.0,13475.0,26234.0
81.0,74.0,0.0,3625.0,8071.0,11643.0,224.0,2875.0,26512.0,8295.0,26438.0
138.0,155.0,0.0,125.0,6629.0,16301.0,188.0,3250.0,26648.0,6817.0,26493.0
95.0,92.0,0.0,2375.0,5790.0,4120.0,9642.0,5125.0,27144.0,15432.0,27052.0
83.0,76.0,0.0,875.0,75.0,8255.0,12926.0,5000.0,27207.0,13001.0,27131.0
126.0,142.0,0.0,500.0,4033.0,21434.0,0.0,1250.0,27359.0,4033.0,27217.0
47.0,37.0,0.0,2125.0,10037.0,15009.0,84.0,500.0,27792.0,10121.0,27755.0
97.0,96.0,0.0,875.0,1075.0,2159.0,18800.0,5125.0,28130.0,19875.0,28034.0
98.0,97.0,0.0,4875.0,12858.0,8655.0,0.0,3375.0,29860.0,12858.0,29763.0
3.0,6.0,0.0,4000.0,8646.0,11436.0,1157.0,4625.0,29870.0,9803.0,29864.0
46.0,36.0,0.0,3000.0,9499.0,15786.0,1274.0,375.0,29970.0,10773.0,29934.0
116.0,125.0,0.0,1500.0,18196.0,8531.0,1296.0,500.0,30148.0,19492.0,30023.0
197.0,215.0,2294.0,1625.0,9282.0,12818.0,164.0,4125.0,30523.0,11740.0,30308.0
129.0,146.0,0.0,3000.0,6027.0,19124.0,1149.0,1250.0,30696.0,7176.0,30550.0
