id,submit,wait in,input,wait run,run,wait out,output,complete,wait,response
148.0,168.0,0.0,250.0,0.0,389.0,0.0,375.0,1182.0,0.0,1014.0
490.0,516.0,0.0,125.0,0.0,500.0,165.0,125.0,1431.0,165.0,915.0
395.0,406.0,0.0,125.0,0.0,773.0,8.0,125.0,1437.0,8.0,1031.0
103.0,116.0,0.0,125.0,0.0,746.0,34.0,500.0,1521.0,34.0,1405.0
95.0,100.0,0.0,125.0,0.0,870.0,211.0,250.0,1556.0,211.0,1456.0
187.0,209.0,0.0,250.0,0.0,647.0,200.0,250.0,1556.0,200.0,1347.0
463.0,490.0,0.0,125.0,0.0,582.0,111.0,250.0,1558.0,111.0,1068.0
329.0,346.0,0.0,250.0,0.0,393.0,42.0,625.0,1656.0,42.0,1310.0
155.0,175.0,0.0,250.0,0.0,743.0,140.0,375.0,1683.0,140.0,1508.0
105.0,119.0,0.0,250.0,0.0,873.0,67.0,375.0,1684.0,67.0,1565.0
213.0,242.0,0.0,375.0,0.0,988.0,0.0,125.0,1730.0,0.0,1488.0
108.0,125.0,0.0,500.0,0.0,375.0,38.0,750.0,1788.0,38.0,1663.0
276.0,299.0,0.0,125.0,0.0,737.0,147.0,500.0,1808.0,147.0,1509.0
51.0,55.0,0.0,375.0,0.0,898.0,0.0,500.0,1828.0,0.0,1773.0
18.0,16.0,0.0,125.0,0.0,577.0,0.0,1125.0,1843.0,0.0,1827.0
324.0,343.0,0.0,250.0,0.0,751.0,0.0,500.0,1844.0,0.0,1501.0
338.0,353.0,0.0,250.0,0.0,260.0,0.0,1000.0,1863.0,0.0,1510.0
337.0,353.0,0.0,250.0,0.0,853.0,0.0,500.0,1956.0,0.0,1603.0
112.0,129.0,0.0,375.0,0.0,987.0,0.0,500.0,1991.0,0.0,1862.0
107.0,124.0,0.0,375.0,0.0,871.0,0.0,625.0,1995.0,0.0,1871.0
189.0,214.0,0.0,375.0,0.0,395.0,35.0,1000.0,2019.0,35.0,1805.0
228.0,255.0,0.0,375.0,0.0,401.0,275.0,750.0,2056.0,275.0,1801.0
459.0,486.0,0.0,125.0,0.0,831.0,0.0,625.0,2067.0,0.0,1581.0
236.0,260.0,0.0,125.0,0.0,1091.0,0.0,625.0,2101.0,0.0,1841.0
256.0,282.0,0.0,125.0,0.0,1327.0,0.0,375.0,2109.0,0.0,1827.0
357.0,372.0,0.0,250.0,0.0,1051.0,0.0,500.0,2173.0,0.0,1801.0
186.0,209.0,0.0,375.0,0.0,634.0,91.0,875.0,2184.0,91.0,1975.0
162.0,182.0,0.0,375.0,0.0,1509.0,0.0,125.0,2191.0,0.0,2009.0
80.0,85.0,0.0,250.0,0.0,1134.0,0.0,750.0,2219.0,0.0,2134.0
29.0,24.0,0.0,625.0,546.0,400.0,0.0,625.0,2220.0,546.0,2196.0
408.0,426.0,0.0,125.0,0.0,468.0,286.0,1000.0,2305.0,286.0,1879.0
268.0,296.0,0.0,125.0,0.0,1763.0,0.0,125.0,2309.0,0.0,2013.0
314.0,337.0,0.0,250.0,0.0,993.0,0.0,750.0,2330.0,0.0,1993.0
180.0,203.0,0.0,375.0,0.0,1258.0,0.0,500.0,2336.0,0.0,2133.0
350.0,362.0,0.0,250.0,0.0,1125.0,0.0,625.0,2362.0,0.0,2000.0
10.0,11.0,0.0,625.0,0.0,1661.0,0.0,125.0,2422.0,0.0,2411.0
220.0,248.0,0.0,125.0,0.0,761.0,172.0,1125.0,2431.0,172.0,2183.0
104.0,118.0,0.0,125.0,0.0,1007.0,61.0,1125.0,2436.0,61.0,2318.0
447.0,467.0,0.0,125.0,0.0,716.0,6.0,1125.0,2439.0,6.0,1972.0
322.0,342.0,0.0,250.0,0.0,1374.0,0.0,500.0,2466.0,0.0,2124.0
366.0,380.0,0.0,125.0,0.0,1736.0,0.0,250.0,2491.0,0.0,2111.0
218.0,245.0,0.0,375.0,0.0,1005.0,0.0,875.0,2500.0,0.0,2255.0
374.0,390.0,0.0,250.0,0.0,1116.0,0.0,750.0,2506.0,0.0,2116.0
488.0,513.0,0.0,125.0,0.0,1010.0,0.0,875.0,2523.0,0.0,2010.0
170.0,194.0,0.0,125.0,0.0,1384.0,0.0,875.0,2578.0,0.0,2384.0
78.0,82.0,0.0,500.0,0.0,1946.0,0.0,125.0,2653.0,0.0,2571.0
181.0,204.0,0.0,375.0,0.0,1233.0,0.0,875.0,2687.0,0.0,2483.0
72.0,75.0,0.0,625.0,1366.0,529.0,0.0,125.0,2720.0,1366.0,2645.0
114.0,129.0,0.0,250.0,0.0,1240.0,0.0,1125.0,2744.0,0.0,2615.0
370.0,390.0,0.0,125.0,0.0,1114.0,0.0,1125.0,2754.0,0.0,2364.0
91.0,98.0,0.0,500.0,0.0,1282.0,0.0,875.0,2755.0,0.0,2657.0
275.0,299.0,0.0,125.0,0.0,1342.0,0.0,1000.0,2766.0,0.0,2467.0
121.0,141.0,0.0,250.0,0.0,2300.0,0.0,125.0,2816.0,0.0,2675.0
341.0,354.0,0.0,125.0,0.0,1248.0,0.0,1125.0,2852.0,0.0,2498.0
242.0,267.0,0.0,250.0,0.0,1757.0,0.0,625.0,2899.0,0.0,2632.0
92.0,99.0,0.0,375.0,0.0,1988.0,0.0,500.0,2962.0,0.0,2863.0
394.0,405.0,0.0,250.0,649.0,1362.0,0.0,375.0,3041.0,649.0,2636.0
513.0,541.0,0.0,125.0,810.0,1076.0,0.0,500.0,3052.0,810.0,2511.0
446.0,465.0,0.0,125.0,0.0,1671.0,0.0,875.0,3136.0,0.0,2671.0
241.0,265.0,0.0,375.0,0.0,1625.0,0.0,875.0,3140.0,0.0,2875.0
214.0,242.0,0.0,250.0,0.0,2146.0,0.0,750.0,3388.0,0.0,3146.0
94.0,100.0,0.0,250.0,0.0,2186.0,0.0,1000.0,3536.0,0.0,3436.0
417.0,432.0,0.0,250.0,794.0,1215.0,0.0,1000.0,3691.0,794.0,3259.0
122.0,142.0,0.0,250.0,0.0,2664.0,0.0,1000.0,4056.0,0.0,3914.0
509.0,537.0,0.0,125.0,814.0,1599.0,0.0,1000.0,4075.0,814.0,3538.0
433.0,447.0,0.0,250.0,1269.0,1471.0,0.0,750.0,4187.0,1269.0,3740.0
254.0,280.0,0.0,250.0,0.0,3300.0,0.0,375.0,4205.0,0.0,3925.0
225.0,251.0,0.0,125.0,0.0,3606.0,0.0,500.0,4482.0,0.0,4231.0
74.0,78.0,0.0,125.0,0.0,3909.0,0.0,375.0,4487.0,0.0,4409.0
517.0,549.0,0.0,125.0,802.0,2277.0,0.0,750.0,4503.0,802.0,3954.0
450.0,471.0,0.0,125.0,0.0,3783.0,0.0,125.0,4504.0,0.0,4033.0
211.0,238.0,0.0,125.0,0.0,3782.0,0.0,375.0,4520.0,0.0,4282.0
21.0,18.0,0.0,250.0,0.0,3901.0,0.0,375.0,4544.0,0.0,4526.0
398.0,409.0,0.0,250.0,817.0,2442.0,0.0,750.0,4668.0,817.0,4259.0
87.0,91.0,0.0,500.0,0.0,3789.0,0.0,375.0,4755.0,0.0,4664.0
88.0,92.0,0.0,375.0,0.0,4173.0,0.0,125.0,4765.0,0.0,4673.0
73.0,76.0,0.0,375.0,0.0,3489.0,0.0,1000.0,4940.0,0.0,4864.0
145.0,166.0,0.0,125.0,0.0,4540.0,0.0,250.0,5081.0,0.0,4915.0
208.0,236.0,0.0,125.0,0.0,3792.0,0.0,1000.0,5153.0,0.0,4917.0
456.0,482.0,0.0,125.0,0.0,4166.0,0.0,500.0,5273.0,0.0,4791.0
110.0,128.0,0.0,375.0,0.0,4151.0,0.0,625.0,5279.0,0.0,5151.0
102.0,116.0,0.0,250.0,0.0,4278.0,0.0,750.0,5394.0,0.0,5278.0
53.0,58.0,0.0,625.0,793.0,3782.0,0.0,250.0,5508.0,793.0,5450.0
135.0,162.0,0.0,500.0,814.0,4282.0,0.0,250.0,6008.0,814.0,5846.0
146.0,166.0,0.0,250.0,0.0,4780.0,0.0,875.0,6071.0,0.0,5905.0
188.0,212.0,0.0,250.0,0.0,4790.0,0.0,1000.0,6252.0,0.0,6040.0
222.0,249.0,0.0,375.0,0.0,4653.0,0.0,1000.0,6277.0,0.0,6028.0
264.0,293.0,0.0,375.0,808.0,4795.0,0.0,125.0,6396.0,808.0,6103.0
6.0,7.0,0.0,625.0,0.0,4778.0,0.0,1000.0,6410.0,0.0,6403.0
