id,submit,wait in,input,wait run,run,wait out,output,complete,wait,response
103.0,1047.0,0.0,277.75,436.5,127.25,5358.25,1000.0,8246.75,5794.75,7199.75
14.0,142.0,0.0,782.75,490.25,7588.25,0.0,1025.0,10028.25,490.25,9886.25
6.0,58.0,0.0,934.25,238.0,3658.5,7794.75,1125.0,13808.5,8032.75,13750.5
101.0,1030.0,118.0,883.75,813.5,143.5,9752.0,1375.0,14115.75,10683.5,13085.75
26.0,268.0,0.0,555.5,6270.0,6308.0,407.0,1100.0,14908.5,6677.0,14640.5
100.0,1019.0,11.0,707.0,10433.0,161.25,1070.25,1900.0,15301.5,11514.25,14282.5
51.0,530.0,0.0,328.25,6235.75,286.5,6735.25,1350.0,15465.75,12971.0,14935.75
95.0,965.0,27.25,934.25,463.5,125.75,12392.75,1100.0,16008.5,12883.5,15043.5
42.0,423.0,0.0,656.5,554.75,11034.5,2797.0,1075.0,16540.75,3351.75,16117.75
49.0,506.0,0.0,909.0,458.25,9183.25,4409.25,1200.0,16665.75,4867.5,16159.75
61.0,623.0,98.25,656.5,496.5,11070.25,2369.5,1425.0,16739.0,2964.25,16116.0
86.0,860.0,23.25,353.5,7253.0,133.25,6142.5,2050.0,16815.5,13418.75,15955.5
68.0,686.0,31.5,328.25,538.75,11073.25,3350.75,1050.0,17058.5,3921.0,16372.5
30.0,296.0,0.0,378.75,1518.75,6296.25,7400.25,1175.0,17065.0,8919.0,16769.0
90.0,912.0,116.5,656.5,9709.25,775.75,3131.5,1900.0,17201.5,12957.25,16289.5
10.0,101.0,0.0,883.75,495.75,920.5,13788.5,1175.0,17364.5,14284.25,17263.5
21.0,211.0,0.0,580.75,5222.75,3664.0,6862.25,1050.0,17590.75,12085.0,17379.75
102.0,1036.0,206.0,631.25,482.0,3659.25,10651.25,1150.0,17815.75,11339.25,16779.75
84.0,837.0,21.25,277.75,6681.5,4578.0,4669.5,1025.0,18090.0,11372.25,17253.0
12.0,127.0,0.0,757.5,1170.0,7587.75,7416.25,1050.0,18108.5,8586.25,17981.5
44.0,444.0,0.0,858.5,434.5,10990.75,4011.25,1425.0,18164.0,4445.75,17720.0
31.0,311.0,0.0,732.25,415.5,6315.5,9041.25,2100.0,18915.5,9456.75,18604.5
81.0,803.0,11.5,808.0,339.5,7275.75,7963.75,2075.0,19276.5,8314.75,18473.5
105.0,1064.0,72.0,505.0,9516.0,136.0,6944.0,1275.0,19512.0,16532.0,18448.0
80.0,796.0,62.25,707.0,9368.75,146.5,6510.25,2225.0,19815.75,15941.25,19019.75
53.0,548.0,0.0,656.5,6393.0,2918.5,8128.5,1275.0,19919.5,14521.5,19371.5
