id,submit,input,run,output,complete,wait,response
79.0,81.0,500.0,638.0,500.0,1719.0,0.0,1638.0
109.0,128.0,500.0,621.0,500.0,1749.0,0.0,1621.0
162.0,176.0,375.0,884.0,375.0,1810.0,0.0,1634.0
158.0,173.0,375.0,1050.0,375.0,1973.0,0.0,1800.0
29.0,31.0,625.0,775.0,625.0,2056.0,0.0,2025.0
72.0,76.0,625.0,779.0,625.0,2105.0,0.0,2029.0
114.0,131.0,500.0,1115.0,500.0,2246.0,0.0,2115.0
149.0,167.0,625.0,1065.0,625.0,2482.0,0.0,2315.0
111.0,130.0,750.0,883.0,750.0,2513.0,0.0,2383.0
89.0,100.0,750.0,985.0,750.0,2585.0,0.0,2485.0
96.0,107.0,750.0,1025.0,750.0,2632.0,0.0,2525.0
80.0,82.0,875.0,1009.0,875.0,2841.0,0.0,2759.0
108.0,127.0,875.0,1000.0,875.0,2877.0,0.0,2750.0
78.0,81.0,625.0,1696.0,625.0,3027.0,0.0,2946.0
91.0,101.0,875.0,1282.0,875.0,3133.0,0.0,3032.0
156.0,171.0,875.0,1268.0,875.0,3189.0,0.0,3018.0
95.0,107.0,1000.0,1120.0,1000.0,3227.0,0.0,3120.0
103.0,119.0,1000.0,1121.0,1000.0,3240.0,0.0,3121.0
93.0,104.0,1000.0,1138.0,1000.0,3242.0,0.0,3138.0
105.0,121.0,1000.0,1123.0,1000.0,3244.0,0.0,3123.0
107.0,125.0,1000.0,1121.0,1000.0,3246.0,0.0,3121.0
101.0,113.0,1000.0,1135.0,1000.0,3248.0,0.0,3135.0
100.0,111.0,1000.0,1148.0,1000.0,3259.0,0.0,3148.0
97.0,109.0,1000.0,1159.0,1000.0,3268.0,0.0,3159.0
51.0,54.0,1000.0,1273.0,1000.0,3327.0,0.0,3273.0
18.0,22.0,1000.0,1327.0,1000.0,3349.0,0.0,3327.0
161.0,175.0,1000.0,1341.0,1000.0,3516.0,0.0,3341.0
17.0,22.0,875.0,1776.0,875.0,3548.0,0.0,3526.0
10.0,17.0,875.0,1786.0,875.0,3553.0,0.0,3536.0
9.0,14.0,1000.0,1565.0,1000.0,3579.0,0.0,3565.0
86.0,93.0,1125.0,1246.0,1125.0,3589.0,0.0,3496.0
104.0,119.0,1125.0,1257.0,1125.0,3626.0,0.0,3507.0
99.0,109.0,1125.0,1342.0,1125.0,3701.0,0.0,3592.0
16.0,22.0,1125.0,1460.0,1125.0,3732.0,0.0,3710.0
112.0,131.0,1000.0,1612.0,1000.0,3743.0,0.0,3612.0
113.0,131.0,1000.0,1616.0,1000.0,3747.0,0.0,3616.0
150.0,167.0,375.0,2872.0,375.0,3789.0,0.0,3622.0
155.0,171.0,1125.0,1368.0,1125.0,3789.0,0.0,3618.0
148.0,166.0,1125.0,1389.0,1125.0,3805.0,0.0,3639.0
121.0,136.0,625.0,2675.0,625.0,4061.0,0.0,3925.0
115.0,132.0,1125.0,1739.0,1125.0,4121.0,0.0,3989.0
94.0,106.0,750.0,2561.0,750.0,4167.0,0.0,4061.0
159.0,175.0,1125.0,1772.0,1125.0,4197.0,0.0,4022.0
157.0,173.0,1125.0,1802.0,1125.0,4225.0,0.0,4052.0
90.0,101.0,1125.0,1888.0,1125.0,4239.0,0.0,4138.0
154.0,171.0,1125.0,1962.0,1125.0,4383.0,0.0,4212.0
122.0,136.0,750.0,2789.0,750.0,4425.0,0.0,4289.0
153.0,170.0,875.0,2729.0,875.0,4649.0,0.0,4479.0
21.0,23.0,375.0,4026.0,375.0,4799.0,0.0,4776.0
53.0,56.0,750.0,3657.0,750.0,5213.0,0.0,5157.0
92.0,102.0,1125.0,2988.0,1125.0,5340.0,0.0,5238.0
102.0,116.0,625.0,4278.0,625.0,5644.0,0.0,5528.0
116.0,132.0,625.0,4281.0,625.0,5663.0,0.0,5531.0
147.0,166.0,625.0,4295.0,625.0,5711.0,0.0,5545.0
8.0,13.0,1000.0,3733.0,1000.0,5746.0,0.0,5733.0
73.0,78.0,1000.0,3989.0,1000.0,6067.0,0.0,5989.0
173.0,186.0,500.0,925.0,500.0,6122.0,4011.0,5936.0
174.0,187.0,625.0,711.0,625.0,6158.0,4010.0,5971.0
74.0,78.0,875.0,4534.0,875.0,6362.0,0.0,6284.0
98.0,109.0,875.0,4530.0,875.0,6389.0,0.0,6280.0
163.0,176.0,1000.0,4213.0,1000.0,6389.0,0.0,6213.0
106.0,124.0,875.0,4546.0,875.0,6420.0,0.0,6296.0
170.0,182.0,625.0,1009.0,625.0,6456.0,4015.0,6274.0
6.0,10.0,1000.0,4653.0,1000.0,6663.0,0.0,6653.0
180.0,195.0,625.0,1258.0,625.0,6733.0,4030.0,6538.0
146.0,166.0,1000.0,4655.0,1000.0,6821.0,0.0,6655.0
145.0,164.0,1000.0,4665.0,1000.0,6829.0,0.0,6665.0
171.0,184.0,875.0,1021.0,875.0,6968.0,4013.0,6784.0
175.0,187.0,875.0,1147.0,875.0,7122.0,4038.0,6935.0
87.0,94.0,1125.0,4789.0,1125.0,7133.0,0.0,7039.0
88.0,98.0,1125.0,4798.0,1125.0,7146.0,0.0,7048.0
110.0,129.0,1125.0,4776.0,1125.0,7155.0,0.0,7026.0
