id,submit,input,run,output,complete,wait,response
162.0,167.0,1200.0,1709.0,1200.0,4276.0,0.0,4109.0
158.0,160.0,1200.0,1875.0,1200.0,4435.0,0.0,4275.0
79.0,81.0,1600.0,1738.0,1600.0,5019.0,0.0,4938.0
109.0,109.0,1600.0,1721.0,1600.0,5030.0,0.0,4921.0
114.0,114.0,1600.0,2215.0,1600.0,5529.0,0.0,5415.0
29.0,22.0,2000.0,2150.0,2000.0,6172.0,0.0,6150.0
72.0,76.0,2000.0,2154.0,2000.0,6230.0,0.0,6154.0
150.0,151.0,1200.0,3697.0,1200.0,6248.0,0.0,6097.0
149.0,149.0,2000.0,2440.0,2000.0,6589.0,0.0,6440.0
78.0,81.0,2000.0,3071.0,2000.0,7152.0,0.0,7071.0
21.0,15.0,1200.0,4851.0,1200.0,7266.0,0.0,7251.0
111.0,111.0,2400.0,2533.0,2400.0,7444.0,0.0,7333.0
89.0,93.0,2400.0,2635.0,2400.0,7528.0,0.0,7435.0
96.0,98.0,2400.0,2675.0,2400.0,7573.0,0.0,7475.0
121.0,124.0,2000.0,4050.0,2000.0,8174.0,0.0,8050.0
80.0,82.0,2800.0,2934.0,2800.0,8616.0,0.0,8534.0
108.0,108.0,2800.0,2925.0,2800.0,8633.0,0.0,8525.0
91.0,95.0,2800.0,3207.0,2800.0,8902.0,0.0,8807.0
156.0,155.0,2800.0,3193.0,2800.0,8948.0,0.0,8793.0
94.0,98.0,2400.0,4211.0,2400.0,9109.0,0.0,9011.0
17.0,11.0,2800.0,3701.0,2800.0,9312.0,0.0,9301.0
10.0,2.0,2800.0,3711.0,2800.0,9313.0,0.0,9311.0
122.0,124.0,2400.0,4439.0,2400.0,9363.0,0.0,9239.0
102.0,104.0,2000.0,5653.0,2000.0,9757.0,0.0,9653.0
116.0,116.0,2000.0,5656.0,2000.0,9772.0,0.0,9656.0
147.0,144.0,2000.0,5670.0,2000.0,9814.0,0.0,9670.0
95.0,98.0,3200.0,3320.0,3200.0,9818.0,0.0,9720.0
103.0,104.0,3200.0,3321.0,3200.0,9825.0,0.0,9721.0
105.0,106.0,3200.0,3323.0,3200.0,9829.0,0.0,9723.0
107.0,108.0,3200.0,3321.0,3200.0,9829.0,0.0,9721.0
93.0,98.0,3200.0,3338.0,3200.0,9836.0,0.0,9738.0
101.0,103.0,3200.0,3335.0,3200.0,9838.0,0.0,9735.0
100.0,102.0,3200.0,3348.0,3200.0,9850.0,0.0,9748.0
97.0,100.0,3200.0,3359.0,3200.0,9859.0,0.0,9759.0
51.0,52.0,3200.0,3473.0,3200.0,9925.0,0.0,9873.0
18.0,13.0,3200.0,3527.0,3200.0,9940.0,0.0,9927.0
161.0,165.0,3200.0,3541.0,3200.0,10106.0,0.0,9941.0
53.0,57.0,2400.0,5307.0,2400.0,10164.0,0.0,10107.0
9.0,1.0,3200.0,3765.0,3200.0,10166.0,0.0,10165.0
112.0,112.0,3200.0,3812.0,3200.0,10324.0,0.0,10212.0
113.0,112.0,3200.0,3816.0,3200.0,10328.0,0.0,10216.0
153.0,153.0,2800.0,4654.0,2800.0,10407.0,0.0,10254.0
86.0,88.0,3600.0,3721.0,3600.0,11009.0,0.0,10921.0
104.0,104.0,3600.0,3732.0,3600.0,11036.0,0.0,10932.0
30.0,24.0,1600.0,7883.0,1600.0,11107.0,0.0,11083.0
99.0,101.0,3600.0,3817.0,3600.0,11118.0,0.0,11017.0
16.0,10.0,3600.0,3935.0,3600.0,11145.0,0.0,11135.0
11.0,4.0,1200.0,8756.0,1200.0,11160.0,0.0,11156.0
155.0,154.0,3600.0,3843.0,3600.0,11197.0,0.0,11043.0
148.0,145.0,3600.0,3864.0,3600.0,11209.0,0.0,11064.0
115.0,115.0,3600.0,4214.0,3600.0,11529.0,0.0,11414.0
159.0,163.0,3600.0,4247.0,3600.0,11610.0,0.0,11447.0
157.0,157.0,3600.0,4277.0,3600.0,11634.0,0.0,11477.0
90.0,94.0,3600.0,4363.0,3600.0,11657.0,0.0,11563.0
154.0,154.0,3600.0,4437.0,3600.0,11791.0,0.0,11637.0
74.0,78.0,2800.0,6459.0,2800.0,12137.0,0.0,12059.0
98.0,101.0,2800.0,6455.0,2800.0,12156.0,0.0,12055.0
106.0,106.0,2800.0,6471.0,2800.0,12177.0,0.0,12071.0
8.0,1.0,3200.0,5933.0,3200.0,12334.0,0.0,12333.0
73.0,78.0,3200.0,6189.0,3200.0,12667.0,0.0,12589.0
92.0,97.0,3600.0,5463.0,3600.0,12760.0,0.0,12663.0
163.0,169.0,3200.0,6413.0,3200.0,12982.0,0.0,12813.0
6.0,1.0,3200.0,6853.0,3200.0,13254.0,0.0,13253.0
