id,submit,wait in,input,wait run,run,wait out,output,complete,wait,response
271.0,270.0,1.0,125.0,3992.0,334.0,0.0,250.0,4972.0,3993.0,4702.0
359.0,338.0,0.0,125.0,4151.0,257.0,0.0,125.0,4996.0,4151.0,4658.0
105.0,113.0,0.0,250.0,3913.0,248.0,63.0,750.0,5337.0,3976.0,5224.0
104.0,112.0,0.0,125.0,3702.0,507.0,141.0,875.0,5462.0,3843.0,5350.0
157.0,159.0,0.0,125.0,3759.0,1177.0,0.0,250.0,5470.0,3759.0,5311.0
329.0,317.0,1.0,125.0,4103.0,643.0,0.0,375.0,5564.0,4104.0,5247.0
175.0,178.0,0.0,250.0,4055.0,772.0,0.0,375.0,5630.0,4055.0,5452.0
89.0,102.0,0.0,250.0,3888.0,485.0,0.0,1000.0,5725.0,3888.0,5623.0
177.0,178.0,0.0,125.0,3837.0,1131.0,0.0,500.0,5771.0,3837.0,5593.0
103.0,111.0,0.0,375.0,4179.0,371.0,0.0,750.0,5786.0,4179.0,5675.0
373.0,353.0,10.0,125.0,4186.0,1007.0,0.0,125.0,5806.0,4196.0,5453.0
349.0,328.0,5.0,125.0,4129.0,747.0,0.0,500.0,5834.0,4134.0,5506.0
331.0,318.0,0.0,125.0,4087.0,857.0,0.0,500.0,5887.0,4087.0,5569.0
114.0,120.0,0.0,250.0,3937.0,1365.0,0.0,250.0,5922.0,3937.0,5802.0
174.0,178.0,0.0,250.0,4062.0,336.0,0.0,1125.0,5951.0,4062.0,5773.0
314.0,303.0,0.0,125.0,4072.0,868.0,0.0,625.0,5993.0,4072.0,5690.0
29.0,40.0,0.0,250.0,3804.0,1025.0,0.0,875.0,5994.0,3804.0,5954.0
318.0,309.0,1.0,125.0,4072.0,1115.0,0.0,375.0,5997.0,4073.0,5688.0
320.0,311.0,32.0,125.0,4175.0,758.0,0.0,625.0,6026.0,4207.0,5715.0
413.0,400.0,0.0,125.0,4769.0,517.0,0.0,250.0,6061.0,4769.0,5661.0
261.0,260.0,103.0,125.0,4192.0,1286.0,0.0,125.0,6091.0,4295.0,5831.0
364.0,347.0,1.0,125.0,4177.0,998.0,0.0,500.0,6148.0,4178.0,5801.0
115.0,120.0,0.0,250.0,3920.0,1739.0,0.0,125.0,6154.0,3920.0,6034.0
312.0,301.0,9.0,125.0,4089.0,766.0,0.0,875.0,6165.0,4098.0,5864.0
350.0,329.0,3.0,125.0,4122.0,750.0,0.0,875.0,6204.0,4125.0,5875.0
422.0,407.0,2.0,125.0,5096.0,584.0,0.0,125.0,6339.0,5098.0,5932.0
113.0,118.0,0.0,125.0,3699.0,1616.0,0.0,875.0,6433.0,3699.0,6315.0
149.0,150.0,0.0,250.0,4002.0,940.0,0.0,1125.0,6467.0,4002.0,6317.0
95.0,103.0,0.0,375.0,4186.0,995.0,0.0,875.0,6534.0,4186.0,6431.0
386.0,370.0,0.0,125.0,4198.0,1357.0,0.0,500.0,6550.0,4198.0,6180.0
336.0,320.0,3.0,125.0,4121.0,1246.0,0.0,750.0,6565.0,4124.0,6245.0
275.0,277.0,1.0,250.0,5094.0,717.0,0.0,375.0,6714.0,5095.0,6437.0
273.0,273.0,11.0,125.0,3998.0,1221.0,0.0,1125.0,6753.0,4009.0,6480.0
213.0,208.0,0.0,125.0,3844.0,1488.0,0.0,1125.0,6790.0,3844.0,6582.0
326.0,315.0,23.0,125.0,4171.0,1616.0,0.0,750.0,7000.0,4194.0,6685.0
154.0,151.0,0.0,375.0,4784.0,1587.0,0.0,250.0,7147.0,4784.0,6996.0
417.0,406.0,5.0,125.0,5112.0,840.0,0.0,1125.0,7613.0,5117.0,7207.0
17.0,25.0,0.0,500.0,4765.0,1776.0,0.0,625.0,7691.0,4765.0,7666.0
398.0,382.0,11.0,125.0,4702.0,2192.0,0.0,375.0,7787.0,4713.0,7405.0
235.0,232.0,15.0,250.0,4225.0,2769.0,0.0,375.0,7866.0,4240.0,7634.0
121.0,125.0,0.0,250.0,3941.0,2675.0,0.0,1000.0,7991.0,3941.0,7866.0
74.0,88.0,0.0,250.0,3847.0,3909.0,0.0,250.0,8344.0,3847.0,8256.0
212.0,207.0,0.0,125.0,3842.0,3782.0,0.0,625.0,8581.0,3842.0,8374.0
144.0,146.0,0.0,125.0,3677.0,4036.0,0.0,625.0,8609.0,3677.0,8463.0
73.0,87.0,0.0,375.0,4146.0,3114.0,0.0,1125.0,8847.0,4146.0,8760.0
102.0,109.0,0.0,250.0,3892.0,4528.0,0.0,125.0,8904.0,3892.0,8795.0
110.0,115.0,0.0,125.0,3700.0,4276.0,0.0,750.0,8966.0,3700.0,8851.0
6.0,9.0,0.0,500.0,4216.0,3778.0,0.0,625.0,9128.0,4216.0,9119.0
176.0,178.0,0.0,250.0,4049.0,3909.0,0.0,750.0,9136.0,4049.0,8958.0
106.0,114.0,0.0,250.0,3923.0,4421.0,0.0,500.0,9208.0,3923.0,9094.0
151.0,151.0,0.0,375.0,4795.0,3775.0,0.0,125.0,9221.0,4795.0,9070.0
223.0,218.0,0.0,125.0,3869.0,4650.0,0.0,500.0,9362.0,3869.0,9144.0
8.0,10.0,0.0,500.0,4229.0,3608.0,0.0,1125.0,9472.0,4229.0,9462.0
229.0,223.0,0.0,125.0,3876.0,4400.0,0.0,1000.0,9624.0,3876.0,9401.0
146.0,147.0,0.0,250.0,3994.0,4155.0,0.0,1125.0,9671.0,3994.0,9524.0
270.0,269.0,21.0,125.0,4023.0,4756.0,0.0,500.0,9694.0,4044.0,9425.0
84.0,98.0,0.0,250.0,3874.0,5439.0,0.0,125.0,9786.0,3874.0,9688.0
266.0,266.0,28.0,125.0,4029.0,4415.0,0.0,1125.0,9988.0,4057.0,9722.0
208.0,203.0,0.0,250.0,4125.0,4792.0,0.0,625.0,9995.0,4125.0,9792.0
145.0,146.0,0.0,375.0,4745.0,4665.0,0.0,250.0,10181.0,4745.0,10035.0
147.0,147.0,0.0,375.0,4755.0,3920.0,0.0,1125.0,10322.0,4755.0,10175.0
87.0,99.0,0.0,375.0,4189.0,4664.0,0.0,1125.0,10452.0,4189.0,10353.0
37.0,48.0,0.0,250.0,3830.0,6484.0,0.0,125.0,10737.0,3830.0,10689.0
7.0,10.0,0.0,125.0,3743.0,6772.0,0.0,250.0,10900.0,3743.0,10890.0
35.0,46.0,0.0,375.0,4048.0,6136.0,0.0,375.0,10980.0,4048.0,10934.0
31.0,43.0,0.0,125.0,3725.0,6435.0,0.0,750.0,11078.0,3725.0,11035.0
33.0,44.0,0.0,125.0,3743.0,6330.0,0.0,1000.0,11242.0,3743.0,11198.0
27.0,36.0,0.0,125.0,3728.0,6975.0,0.0,625.0,11489.0,3728.0,11453.0
28.0,36.0,0.0,375.0,3998.0,6888.0,0.0,750.0,12047.0,3998.0,12011.0
34.0,44.0,0.0,250.0,3809.0,7019.0,0.0,1125.0,12247.0,3809.0,12203.0
3.0,6.0,0.0,125.0,3694.0,8186.0,0.0,375.0,12386.0,3694.0,12380.0
5.0,8.0,0.0,500.0,4216.0,7696.0,0.0,250.0,12670.0,4216.0,12662.0
167.0,168.0,0.0,250.0,4025.0,7821.0,0.0,625.0,12889.0,4025.0,12721.0
13.0,21.0,0.0,125.0,3739.0,8465.0,0.0,625.0,12975.0,3739.0,12954.0
15.0,22.0,0.0,500.0,4754.0,7816.0,0.0,250.0,13342.0,4754.0,13320.0
197.0,198.0,0.0,250.0,4118.0,8693.0,0.0,125.0,13384.0,4118.0,13186.0
24.0,33.0,0.0,500.0,5095.0,6889.0,0.0,875.0,13392.0,5095.0,13359.0
260.0,259.0,156.0,125.0,11846.0,655.0,0.0,625.0,13666.0,12002.0,13407.0
388.0,371.0,25.0,125.0,4750.0,7845.0,0.0,625.0,13741.0,4775.0,13370.0
382.0,365.0,35.0,125.0,4778.0,7710.0,0.0,875.0,13888.0,4813.0,13523.0
200.0,198.0,0.0,125.0,3846.0,9162.0,0.0,625.0,13956.0,3846.0,13758.0
389.0,371.0,22.0,125.0,4737.0,8485.0,0.0,375.0,14115.0,4759.0,13744.0
48.0,60.0,0.0,250.0,3847.0,9550.0,0.0,625.0,14332.0,3847.0,14272.0
196.0,197.0,0.0,250.0,4106.0,9300.0,0.0,1125.0,14978.0,4106.0,14781.0
434.0,413.0,2.0,125.0,11810.0,2437.0,0.0,750.0,15537.0,11812.0,15124.0
71.0,87.0,0.0,125.0,3720.0,11484.0,0.0,250.0,15666.0,3720.0,15579.0
42.0,55.0,0.0,250.0,3842.0,11152.0,0.0,375.0,15674.0,3842.0,15619.0
55.0,68.0,0.0,375.0,4083.0,11317.0,0.0,250.0,16093.0,4083.0,16025.0
65.0,82.0,0.0,125.0,3724.0,11416.0,0.0,750.0,16097.0,3724.0,16015.0
117.0,122.0,0.0,125.0,3699.0,11317.0,0.0,875.0,16138.0,3699.0,16016.0
290.0,289.0,1.0,125.0,4020.0,11502.0,0.0,250.0,16187.0,4021.0,15898.0
54.0,68.0,0.0,250.0,3847.0,11561.0,0.0,625.0,16351.0,3847.0,16283.0
139.0,140.0,0.0,250.0,3947.0,11877.0,0.0,250.0,16464.0,3947.0,16324.0
438.0,417.0,1.0,125.0,14244.0,983.0,0.0,750.0,16520.0,14245.0,16103.0
316.0,305.0,0.0,250.0,14982.0,882.0,0.0,125.0,16544.0,14982.0,16239.0
183.0,186.0,0.0,375.0,15165.0,523.0,0.0,375.0,16624.0,15165.0,16438.0
61.0,78.0,0.0,375.0,4120.0,11688.0,0.0,375.0,16636.0,4120.0,16558.0
136.0,139.0,0.0,375.0,4233.0,11198.0,0.0,875.0,16820.0,4233.0,16681.0
68.0,85.0,0.0,375.0,4142.0,12192.0,0.0,125.0,16919.0,4142.0,16834.0
142.0,143.0,0.0,250.0,3978.0,12027.0,0.0,625.0,17023.0,3978.0,16880.0
44.0,57.0,0.0,375.0,4069.0,11734.0,0.0,1125.0,17360.0,4069.0,17303.0
454.0,435.0,0.0,125.0,15106.0,1226.0,0.0,500.0,17392.0,15106.0,16957.0
467.0,449.0,4.0,125.0,15609.0,252.0,0.0,1125.0,17564.0,15613.0,17115.0
370.0,349.0,3.0,250.0,15749.0,739.0,0.0,500.0,17590.0,15752.0,17241.0
187.0,190.0,0.0,375.0,15528.0,522.0,0.0,1000.0,17615.0,15528.0,17425.0
451.0,434.0,1.0,125.0,15114.0,1318.0,0.0,625.0,17617.0,15115.0,17183.0
363.0,346.0,2.0,250.0,15616.0,1137.0,0.0,500.0,17851.0,15618.0,17505.0
457.0,436.0,7.0,125.0,15529.0,1454.0,0.0,375.0,17926.0,15536.0,17490.0
185.0,187.0,0.0,375.0,15208.0,1745.0,0.0,500.0,18015.0,15208.0,17828.0
93.0,102.0,0.0,500.0,15659.0,763.0,0.0,1000.0,18024.0,15659.0,17922.0
111.0,116.0,0.0,500.0,15823.0,1008.0,0.0,625.0,18072.0,15823.0,17956.0
492.0,473.0,1.0,125.0,15650.0,727.0,0.0,1125.0,18101.0,15651.0,17628.0
377.0,359.0,0.0,250.0,15789.0,1747.0,0.0,125.0,18270.0,15789.0,17911.0
184.0,187.0,0.0,375.0,15281.0,1757.0,0.0,750.0,18350.0,15281.0,18163.0
521.0,502.0,12.0,125.0,16353.0,964.0,0.0,750.0,18706.0,16365.0,18204.0
352.0,331.0,33.0,250.0,15805.0,1362.0,0.0,1000.0,18781.0,15838.0,18450.0
390.0,371.0,4.0,250.0,15919.0,1251.0,0.0,1125.0,18920.0,15923.0,18549.0
572.0,547.0,1.0,125.0,17122.0,916.0,0.0,625.0,19336.0,17123.0,18789.0
408.0,397.0,0.0,250.0,16745.0,843.0,0.0,1125.0,19360.0,16745.0,18963.0
189.0,191.0,0.0,500.0,17454.0,770.0,0.0,500.0,19415.0,17454.0,19224.0
440.0,419.0,2.0,250.0,17110.0,1460.0,0.0,250.0,19491.0,17112.0,19072.0
441.0,420.0,1.0,250.0,16946.0,1724.0,0.0,250.0,19591.0,16947.0,19171.0
401.0,387.0,3.0,250.0,16384.0,1725.0,0.0,875.0,19624.0,16387.0,19237.0
576.0,554.0,7.0,125.0,17415.0,1276.0,0.0,250.0,19627.0,17422.0,19073.0
4.0,8.0,0.0,125.0,3707.0,15722.0,0.0,125.0,19687.0,3707.0,19679.0
