id,submit,wait in,input,wait run,run,wait out,output,complete,wait,response
271.0,270.0,1.0,125.0,4052.0,334.0,0.0,250.0,5032.0,4053.0,4762.0
359.0,338.0,0.0,125.0,4264.0,257.0,0.0,125.0,5109.0,4264.0,4771.0
104.0,112.0,0.0,125.0,3698.0,507.0,17.0,875.0,5334.0,3715.0,5222.0
105.0,113.0,0.0,250.0,4026.0,248.0,0.0,750.0,5387.0,4026.0,5274.0
157.0,159.0,0.0,125.0,3858.0,1177.0,0.0,250.0,5569.0,3858.0,5410.0
329.0,317.0,1.0,125.0,4194.0,643.0,0.0,375.0,5655.0,4195.0,5338.0
175.0,178.0,0.0,250.0,4105.0,772.0,0.0,375.0,5680.0,4105.0,5502.0
422.0,407.0,2.0,125.0,4475.0,584.0,0.0,125.0,5718.0,4477.0,5311.0
413.0,400.0,0.0,125.0,4456.0,517.0,0.0,250.0,5748.0,4456.0,5348.0
260.0,259.0,35.0,125.0,4084.0,655.0,0.0,625.0,5783.0,4119.0,5524.0
177.0,178.0,0.0,125.0,3909.0,1131.0,0.0,500.0,5843.0,3909.0,5665.0
89.0,102.0,0.0,250.0,4023.0,485.0,0.0,1000.0,5860.0,4023.0,5758.0
261.0,260.0,30.0,125.0,4082.0,1286.0,0.0,125.0,5908.0,4112.0,5648.0
103.0,111.0,0.0,375.0,4324.0,371.0,0.0,750.0,5931.0,4324.0,5820.0
373.0,353.0,0.0,125.0,4325.0,1007.0,0.0,125.0,5935.0,4325.0,5582.0
331.0,318.0,0.0,125.0,4162.0,857.0,0.0,500.0,5962.0,4162.0,5644.0
349.0,328.0,9.0,125.0,4262.0,747.0,0.0,500.0,5971.0,4271.0,5643.0
174.0,178.0,0.0,250.0,4112.0,336.0,0.0,1125.0,6001.0,4112.0,5823.0
314.0,303.0,0.0,125.0,4118.0,868.0,0.0,625.0,6039.0,4118.0,5736.0
114.0,120.0,0.0,250.0,4059.0,1365.0,0.0,250.0,6044.0,4059.0,5924.0
29.0,40.0,0.0,250.0,3856.0,1025.0,0.0,875.0,6046.0,3856.0,6006.0
318.0,309.0,1.0,125.0,4135.0,1115.0,0.0,375.0,6060.0,4136.0,5751.0
320.0,311.0,32.0,125.0,4312.0,758.0,0.0,625.0,6163.0,4344.0,5852.0
312.0,301.0,9.0,125.0,4137.0,766.0,0.0,875.0,6213.0,4146.0,5912.0
364.0,347.0,1.0,125.0,4309.0,998.0,0.0,500.0,6280.0,4310.0,5933.0
115.0,120.0,0.0,250.0,4049.0,1739.0,0.0,125.0,6283.0,4049.0,6163.0
350.0,329.0,3.0,125.0,4241.0,750.0,0.0,875.0,6323.0,4244.0,5994.0
113.0,118.0,0.0,125.0,3749.0,1616.0,0.0,875.0,6483.0,3749.0,6365.0
149.0,150.0,0.0,250.0,4059.0,940.0,0.0,1125.0,6524.0,4059.0,6374.0
95.0,103.0,0.0,375.0,4312.0,995.0,0.0,875.0,6660.0,4312.0,6557.0
336.0,320.0,3.0,125.0,4220.0,1246.0,0.0,750.0,6664.0,4223.0,6344.0
386.0,370.0,0.0,125.0,4321.0,1357.0,0.0,500.0,6673.0,4321.0,6303.0
273.0,273.0,5.0,125.0,4059.0,1221.0,0.0,1125.0,6808.0,4064.0,6535.0
154.0,151.0,0.0,375.0,4458.0,1587.0,0.0,250.0,6821.0,4458.0,6670.0
213.0,208.0,4.0,125.0,3986.0,1488.0,0.0,1125.0,6936.0,3990.0,6728.0
417.0,406.0,5.0,125.0,4474.0,840.0,0.0,1125.0,6975.0,4479.0,6569.0
326.0,315.0,23.0,125.0,4280.0,1616.0,0.0,750.0,7109.0,4303.0,6794.0
17.0,25.0,0.0,500.0,4420.0,1776.0,0.0,625.0,7346.0,4420.0,7321.0
398.0,382.0,11.0,125.0,4394.0,2192.0,0.0,375.0,7479.0,4405.0,7097.0
121.0,125.0,0.0,250.0,4059.0,2675.0,0.0,1000.0,8109.0,4059.0,7984.0
74.0,88.0,0.0,250.0,3997.0,3909.0,0.0,250.0,8494.0,3997.0,8406.0
