id,submit,wait in,input,wait run,run,wait out,output,complete,wait,response
104.0,112.0,0.0,125.0,10.0,507.0,128.0,875.0,1757.0,138.0,1645.0
157.0,159.0,0.0,125.0,661.0,1177.0,215.0,250.0,2587.0,876.0,2428.0
29.0,40.0,0.0,250.0,658.0,1025.0,217.0,875.0,3065.0,875.0,3025.0
105.0,113.0,0.0,250.0,1427.0,248.0,291.0,750.0,3079.0,1718.0,2966.0
113.0,118.0,0.0,125.0,120.0,1616.0,328.0,875.0,3182.0,448.0,3064.0
114.0,120.0,0.0,250.0,1473.0,1365.0,97.0,250.0,3555.0,1570.0,3435.0
177.0,178.0,0.0,125.0,1259.0,1131.0,612.0,500.0,3805.0,1871.0,3627.0
89.0,102.0,0.0,250.0,1414.0,485.0,1041.0,1000.0,4292.0,2455.0,4190.0
144.0,146.0,0.0,125.0,99.0,4036.0,0.0,625.0,5031.0,99.0,4885.0
110.0,115.0,0.0,125.0,50.0,4276.0,0.0,750.0,5316.0,50.0,5201.0
74.0,88.0,0.0,250.0,1238.0,3909.0,0.0,250.0,5735.0,1238.0,5647.0
183.0,186.0,0.0,375.0,4442.0,523.0,0.0,375.0,5901.0,4442.0,5715.0
108.0,114.0,0.0,750.0,4408.0,500.0,0.0,250.0,6022.0,4408.0,5908.0
175.0,178.0,0.0,250.0,4480.0,772.0,0.0,375.0,6055.0,4480.0,5877.0
103.0,111.0,0.0,375.0,4483.0,371.0,49.0,750.0,6139.0,4532.0,6028.0
18.0,26.0,0.0,750.0,4452.0,452.0,0.0,500.0,6180.0,4452.0,6154.0
80.0,95.0,0.0,625.0,4465.0,884.0,0.0,125.0,6194.0,4465.0,6099.0
189.0,191.0,0.0,500.0,4477.0,770.0,0.0,500.0,6438.0,4477.0,6247.0
102.0,109.0,0.0,250.0,1426.0,4528.0,0.0,125.0,6438.0,1426.0,6329.0
97.0,106.0,0.0,625.0,4478.0,1159.0,0.0,125.0,6493.0,4478.0,6387.0
174.0,178.0,0.0,250.0,4473.0,336.0,148.0,1125.0,6510.0,4621.0,6332.0
99.0,108.0,0.0,625.0,4476.0,717.0,0.0,625.0,6551.0,4476.0,6443.0
187.0,190.0,0.0,375.0,4466.0,522.0,0.0,1000.0,6553.0,4466.0,6363.0
260.0,259.0,517.0,125.0,4452.0,655.0,0.0,625.0,6633.0,4969.0,6374.0
173.0,176.0,0.0,625.0,4452.0,800.0,0.0,625.0,6678.0,4452.0,6502.0
86.0,99.0,0.0,625.0,4469.0,1246.0,0.0,250.0,6689.0,4469.0,6590.0
111.0,116.0,0.0,500.0,4449.0,1008.0,0.0,625.0,6698.0,4449.0,6582.0
115.0,120.0,0.0,250.0,4488.0,1739.0,0.0,125.0,6722.0,4488.0,6602.0
181.0,184.0,0.0,625.0,4444.0,858.0,0.0,625.0,6736.0,4444.0,6552.0
106.0,114.0,0.0,250.0,1454.0,4421.0,0.0,500.0,6739.0,1454.0,6625.0
261.0,260.0,516.0,125.0,4467.0,1286.0,0.0,125.0,6779.0,4983.0,6519.0
93.0,102.0,0.0,500.0,4463.0,763.0,0.0,1000.0,6828.0,4463.0,6726.0
154.0,151.0,0.0,375.0,4474.0,1587.0,0.0,250.0,6837.0,4474.0,6686.0
95.0,103.0,0.0,375.0,4491.0,995.0,0.0,875.0,6839.0,4491.0,6736.0
149.0,150.0,0.0,250.0,4482.0,940.0,0.0,1125.0,6947.0,4482.0,6797.0
7.0,10.0,0.0,125.0,0.0,6772.0,0.0,250.0,7157.0,0.0,7147.0
185.0,187.0,0.0,375.0,4456.0,1745.0,0.0,500.0,7263.0,4456.0,7076.0
96.0,105.0,0.0,750.0,4417.0,900.0,0.0,1125.0,7297.0,4417.0,7192.0
112.0,118.0,0.0,625.0,4472.0,987.0,0.0,1125.0,7327.0,4472.0,7209.0
84.0,98.0,0.0,250.0,1417.0,5439.0,0.0,125.0,7329.0,1417.0,7231.0
31.0,43.0,0.0,125.0,0.0,6435.0,0.0,750.0,7353.0,0.0,7310.0
155.0,155.0,0.0,750.0,4480.0,1368.0,0.0,625.0,7378.0,4480.0,7223.0
17.0,25.0,0.0,500.0,4458.0,1776.0,0.0,625.0,7384.0,4458.0,7359.0
156.0,159.0,0.0,500.0,4482.0,1143.0,0.0,1125.0,7409.0,4482.0,7250.0
33.0,44.0,0.0,125.0,0.0,6330.0,0.0,1000.0,7499.0,0.0,7455.0
271.0,270.0,540.0,125.0,5991.0,334.0,0.0,250.0,7510.0,6531.0,7240.0
184.0,187.0,0.0,375.0,4448.0,1757.0,0.0,750.0,7517.0,4448.0,7330.0
37.0,48.0,0.0,250.0,734.0,6484.0,0.0,125.0,7641.0,734.0,7593.0
213.0,208.0,300.0,125.0,4469.0,1488.0,0.0,1125.0,7715.0,4769.0,7507.0
27.0,36.0,0.0,125.0,0.0,6975.0,0.0,625.0,7761.0,0.0,7725.0
158.0,160.0,0.0,625.0,4466.0,1675.0,0.0,1000.0,7926.0,4466.0,7766.0
205.0,201.0,227.0,500.0,5356.0,1130.0,0.0,875.0,8289.0,5583.0,8088.0
121.0,125.0,0.0,250.0,4483.0,2675.0,0.0,1000.0,8533.0,4483.0,8408.0
3.0,6.0,0.0,125.0,0.0,8186.0,0.0,375.0,8692.0,0.0,8686.0
122.0,125.0,0.0,750.0,4432.0,2914.0,0.0,625.0,8846.0,4432.0,8721.0
151.0,151.0,0.0,375.0,4457.0,3775.0,0.0,125.0,8883.0,4457.0,8732.0
