id,submit,wait in,input,wait run,run,wait out,output,complete,wait,response
93.0,75.0,0.0,1.125,0.0,389.125,1372.75,2000.0,3838.0,1372.75,3763.0
51.0,39.0,0.0,1.625,0.0,2899.625,1362.5,1500.0,5802.75,1362.5,5763.75
113.0,92.0,0.0,1.375,0.0,1242.375,2244.0,3000.0,6579.75,2244.0,6487.75
53.0,39.0,0.0,2.125,0.0,4284.125,1013.25,2250.0,7588.5,1013.25,7549.5
101.0,80.0,0.0,0.25,0.0,6010.25,522.5,1000.0,7613.0,522.5,7533.0
108.0,85.0,0.0,1.0,0.0,4876.0,1054.5,1750.0,7766.5,1054.5,7681.5
80.0,65.0,0.0,0.125,0.0,4884.125,1015.25,2000.0,7964.5,1015.25,7899.5
99.0,79.0,0.0,1.125,0.0,1093.125,2070.5,4750.0,7993.75,2070.5,7914.75
103.0,82.0,0.0,2.125,0.0,373.125,1229.5,6500.0,8186.75,1229.5,8104.75
72.0,51.0,0.0,3.625,0.0,3657.625,1249.75,3500.0,8462.0,1249.75,8411.0
100.0,79.0,0.0,1.5,0.0,3149.5,1072.75,4250.0,8552.75,1072.75,8473.75
91.0,73.0,0.0,1.625,0.0,2533.625,1694.5,5250.0,9552.75,1694.5,9479.75
98.0,78.0,0.0,0.125,0.0,7280.125,1604.75,1000.0,9963.0,1604.75,9885.0
34.0,26.0,0.0,2.75,0.0,7771.75,1162.5,1000.0,9963.0,1162.5,9937.0
79.0,63.0,0.0,3.375,0.0,3766.375,1129.25,5500.0,10462.0,1129.25,10399.0
37.0,31.0,0.0,2.375,0.0,6236.375,631.5,3750.0,10651.25,631.5,10620.25
95.0,76.0,0.0,2.0,0.0,1122.0,2379.75,7250.0,10829.75,2379.75,10753.75
28.0,24.0,0.0,0.5,0.0,6513.5,1426.5,3500.0,11464.5,1426.5,11440.5
109.0,86.0,0.0,1.375,0.0,4372.375,1406.25,5750.0,11616.0,1406.25,11530.0
96.0,76.0,0.0,3.625,0.0,5278.625,925.25,5500.0,11783.5,925.25,11707.5
5.0,5.0,0.0,1.125,0.0,9822.125,1236.25,750.0,11814.5,1236.25,11809.5
9.0,10.0,0.0,2.375,0.0,3567.375,1369.5,7500.0,12449.25,1369.5,12439.25
30.0,25.0,0.0,3.25,0.0,11036.25,640.75,750.0,12455.25,640.75,12430.25
31.0,26.0,0.0,1.0,0.0,8936.0,1499.0,2000.0,12462.0,1499.0,12436.0
15.0,13.0,0.0,0.625,0.0,11691.625,744.0,250.0,12699.25,744.0,12686.25
86.0,69.0,0.0,2.125,0.0,6123.125,706.75,6000.0,12901.0,706.75,12832.0
62.0,45.0,0.0,2.75,0.0,11313.75,587.75,1000.0,12949.25,587.75,12904.25
89.0,72.0,0.0,2.375,0.0,1612.375,2146.0,9750.0,13582.75,2146.0,13510.75
32.0,26.0,0.0,2.125,0.0,6873.125,1544.75,5250.0,13696.0,1544.75,13670.0
25.0,21.0,0.0,0.5,0.0,8756.5,1684.0,3250.0,13712.0,1684.0,13691.0
84.0,67.0,0.0,1.75,0.0,6940.75,1452.5,5500.0,13962.0,1452.5,13895.0
27.0,22.0,0.0,0.875,0.0,11725.875,713.25,1500.0,13962.0,713.25,13940.0
78.0,61.0,0.0,3.5,0.0,6074.5,762.0,7250.0,14151.0,762.0,14090.0
10.0,11.0,0.0,0.875,0.0,6286.875,1059.5,7000.0,14358.25,1059.5,14347.25
29.0,25.0,0.0,1.375,0.0,4276.375,1035.75,9250.0,14588.5,1035.75,14563.5
