id,submit,input,run,output,complete,wait,response
37.0,36.0,5200.0,10684.0,5200.0,21120.0,0.0,21084.0
135.0,122.0,6000.0,9657.0,6000.0,21779.0,0.0,21657.0
42.0,39.0,4000.0,15027.0,4000.0,23066.0,0.0,23027.0
122.0,103.0,8000.0,10039.0,8000.0,26142.0,0.0,26039.0
149.0,134.0,8800.0,9240.0,8800.0,26974.0,0.0,26840.0
146.0,131.0,8400.0,12055.0,8400.0,28986.0,0.0,28855.0
145.0,131.0,8400.0,12065.0,8400.0,28996.0,0.0,28865.0
99.0,88.0,9600.0,9817.0,9600.0,29105.0,0.0,29017.0
78.0,71.0,10400.0,11471.0,10400.0,32342.0,0.0,32271.0
95.0,85.0,10800.0,10920.0,10800.0,32605.0,0.0,32520.0
98.0,88.0,10000.0,13655.0,10000.0,33743.0,0.0,33655.0
154.0,142.0,11600.0,12437.0,11600.0,35779.0,0.0,35637.0
23.0,16.0,10000.0,16543.0,10000.0,36559.0,0.0,36543.0
113.0,98.0,12000.0,12616.0,12000.0,36714.0,0.0,36616.0
158.0,144.0,12400.0,13075.0,12400.0,38019.0,0.0,37875.0
9.0,7.0,13200.0,13765.0,13200.0,40172.0,0.0,40165.0
128.0,112.0,7600.0,25372.0,7600.0,40684.0,0.0,40572.0
31.0,27.0,11600.0,17910.0,11600.0,41137.0,0.0,41110.0
61.0,59.0,10400.0,21463.0,10400.0,42322.0,0.0,42263.0
50.0,48.0,11200.0,20390.0,11200.0,42838.0,0.0,42790.0
162.0,148.0,14400.0,14909.0,14400.0,43857.0,0.0,43709.0
100.0,88.0,14800.0,14948.0,14800.0,44636.0,0.0,44548.0
151.0,139.0,14000.0,17650.0,14000.0,45789.0,0.0,45650.0
65.0,61.0,11600.0,22641.0,11600.0,45902.0,0.0,45841.0
70.0,65.0,11600.0,22733.0,11600.0,45998.0,0.0,45933.0
49.0,48.0,12400.0,21577.0,12400.0,46425.0,0.0,46377.0
90.0,79.0,15200.0,15963.0,15200.0,46442.0,0.0,46363.0
87.0,77.0,14400.0,18064.0,14400.0,46941.0,0.0,46864.0
111.0,98.0,15600.0,15733.0,15600.0,47031.0,0.0,46933.0
12.0,8.0,13200.0,20777.0,13200.0,47185.0,0.0,47177.0
166.0,154.0,13200.0,20781.0,13200.0,47335.0,0.0,47181.0
144.0,130.0,14800.0,18461.0,14800.0,48191.0,0.0,48061.0
137.0,124.0,12400.0,23388.0,12400.0,48312.0,0.0,48188.0
123.0,104.0,12400.0,23499.0,12400.0,48403.0,0.0,48299.0
18.0,13.0,16400.0,16727.0,16400.0,49540.0,0.0,49527.0
3.0,2.0,14000.0,21561.0,14000.0,49563.0,0.0,49561.0
29.0,26.0,16800.0,16950.0,16800.0,50576.0,0.0,50550.0
73.0,68.0,16000.0,18989.0,16000.0,51057.0,0.0,50989.0
112.0,98.0,16800.0,17412.0,16800.0,51110.0,0.0,51012.0
11.0,7.0,15200.0,22756.0,15200.0,53163.0,0.0,53156.0
167.0,154.0,15200.0,22771.0,15200.0,53325.0,0.0,53171.0
121.0,102.0,17200.0,19250.0,17200.0,53752.0,0.0,53650.0
126.0,108.0,12000.0,29809.0,12000.0,53917.0,0.0,53809.0
6.0,5.0,16800.0,20453.0,16800.0,54058.0,0.0,54053.0
81.0,72.0,15600.0,22868.0,15600.0,54140.0,0.0,54068.0
168.0,154.0,16800.0,20709.0,16800.0,54463.0,0.0,54309.0
164.0,152.0,15600.0,23168.0,15600.0,54520.0,0.0,54368.0
115.0,99.0,18000.0,18614.0,18000.0,54713.0,0.0,54614.0
92.0,80.0,17600.0,19463.0,17600.0,54743.0,0.0,54663.0
88.0,78.0,17200.0,20873.0,17200.0,55351.0,0.0,55273.0
161.0,147.0,18400.0,18741.0,18400.0,55688.0,0.0,55541.0
114.0,99.0,18400.0,19015.0,18400.0,55914.0,0.0,55815.0
86.0,77.0,18800.0,18921.0,18800.0,56598.0,0.0,56521.0
1.0,0.0,16400.0,23960.0,16400.0,56760.0,0.0,56760.0
148.0,132.0,18800.0,19064.0,18800.0,56796.0,0.0,56664.0
4.0,2.0,14000.0,28972.0,14000.0,56974.0,0.0,56972.0
107.0,92.0,19200.0,19321.0,19200.0,57813.0,0.0,57721.0
27.0,22.0,17200.0,23425.0,17200.0,57847.0,0.0,57825.0
