id,submit,wait in,input,wait run,run,wait out,output,complete,wait,response
97.0,89.0,0.0,1.625,0.0,1785.625,0.0,3250.0,5126.25,0.0,5037.25
72.0,63.0,0.0,2.125,0.0,2281.125,0.0,4250.0,6596.25,0.0,6533.25
109.0,100.0,0.0,2.375,0.0,2498.375,0.0,4750.0,7350.75,0.0,7250.75
113.0,105.0,0.0,2.375,0.0,2993.375,0.0,4750.0,7850.75,0.0,7745.75
73.0,66.0,0.0,1.875,0.0,4865.875,0.0,3750.0,8683.75,0.0,8617.75
90.0,83.0,0.0,2.625,0.0,3390.625,0.0,5250.0,8726.25,0.0,8643.25
121.0,113.0,0.0,2.5,0.0,4552.5,0.0,5000.0,9668.0,0.0,9555.0
93.0,86.0,0.0,3.25,0.0,3391.25,0.0,6500.0,9980.5,0.0,9894.5
94.0,88.0,0.0,2.75,0.0,4563.75,0.0,5500.0,10154.5,0.0,10066.5
122.0,115.0,0.0,2.75,0.0,4791.75,0.0,5500.0,10409.5,0.0,10294.5
100.0,95.0,0.0,3.5,0.0,3651.5,0.0,7000.0,10750.0,0.0,10655.0
8.0,9.0,0.0,3.0,0.0,5736.0,0.0,6000.0,11748.0,0.0,11739.0
91.0,85.0,0.0,3.875,0.0,4285.875,0.0,7750.0,12124.75,0.0,12039.75
36.0,40.0,0.0,2.125,0.0,7891.125,0.0,4250.0,12183.25,0.0,12143.25
28.0,32.0,0.0,2.125,0.0,8390.125,0.0,4250.0,12674.25,0.0,12642.25
101.0,98.0,0.0,4.25,0.0,4389.25,0.0,8500.0,12991.5,0.0,12893.5
115.0,107.0,0.0,4.125,0.0,4743.125,0.0,8250.0,13104.25,0.0,12997.25
112.0,104.0,0.0,4.25,0.0,4866.25,0.0,8500.0,13474.5,0.0,13370.5
144.0,130.0,0.0,3.25,0.0,6914.25,0.0,6500.0,13547.5,0.0,13417.5
145.0,131.0,0.0,3.5,0.0,7168.5,0.0,7000.0,14303.0,0.0,14172.0
43.0,43.0,0.0,1.125,0.0,12164.125,0.0,2250.0,14458.25,0.0,14415.25
143.0,130.0,0.0,1.25,0.0,12227.25,0.0,2500.0,14858.5,0.0,14728.5
29.0,32.0,0.0,5.0,0.0,5155.0,0.0,10000.0,15192.0,0.0,15160.0
107.0,100.0,0.0,5.0,0.0,5126.0,0.0,10000.0,15231.0,0.0,15131.0
27.0,31.0,0.0,3.0,0.0,9228.0,0.0,6000.0,15262.0,0.0,15231.0
31.0,35.0,0.0,3.375,0.0,9688.375,0.0,6750.0,16476.75,0.0,16441.75
86.0,78.0,0.0,5.5,0.0,5626.5,0.0,11000.0,16710.0,0.0,16632.0
84.0,76.0,0.0,4.125,0.0,8693.125,0.0,8250.0,17023.25,0.0,16947.25
56.0,53.0,0.0,2.0,0.0,13087.0,0.0,4000.0,17142.0,0.0,17089.0
14.0,16.0,0.0,3.25,0.0,10833.25,0.0,6500.0,17352.5,0.0,17336.5
108.0,100.0,0.0,5.75,0.0,5880.75,0.0,11500.0,17486.5,0.0,17386.5
