time,cpu,bb
0.0,0.0,0.010249999999999981
1.0,0.0,0.04225000000000001
2.0,0.0,0.056499999999999995
3.0,0.0,0.06699999999999995
4.0,0.0,0.08050000000000002
5.0,0.0,0.09399999999999997
6.0,0.0,0.11624999999999996
9.0,0.0,0.12575000000000003
10.0,0.0,0.134
11.0,0.0,0.15500000000000003
12.0,0.0,0.16749999999999998
14.0,0.0,0.20475
15.0,0.0,0.22799999999999998
16.0,0.0,0.27325
19.0,0.0,0.29825
20.0,0.0,0.30900000000000005
23.0,0.0,0.3205
24.0,0.0,0.33099999999999996
27.0,0.0,0.34475
29.0,0.0,0.352
31.0,0.0,0.363
34.0,0.0,0.37450000000000006
35.0,0.0,0.41674999999999995
36.0,0.0,0.42000000000000004
40.0,0.0,0.43225
41.0,0.0,0.4465
42.0,0.0,0.46125000000000005
44.0,0.0,0.47650000000000003
46.0,0.0,0.48850000000000005
47.0,0.0,0.503
50.0,0.0,0.51625
51.0,0.0,0.529
52.0,0.0,0.542
53.0,0.0,0.56925
55.0,0.0,0.5820000000000001
56.0,0.0,0.6094999999999999
57.0,0.0,0.636
59.0,0.0,0.65875
60.0,0.0,0.67225
61.0,0.0,0.6825
63.0,0.0,0.6965
64.0,0.0,0.7030000000000001
65.0,0.0,0.7442500000000001
67.0,0.0,0.7515000000000001
68.0,0.0,0.804
69.0,0.0,0.81125
70.0,0.0,0.82325
72.0,0.0,0.8362499999999999
75.0,0.0,0.8605
76.0,0.0,0.88325
77.0,0.0,0.90425
78.0,0.0,0.9175
80.0,0.0,0.9305
82.0,0.0,0.94025
83.0,0.0,0.953
85.0,0.0,0.966
86.0,0.0,0.98025
88.0,0.0,0.98725
90.0,0.0,0.999
93.0,0.0,0.999
95.0,0.0,0.999
98.0,0.0,0.999
100.0,0.0,0.999
102.0,0.0,0.999
104.0,0.0,0.999
105.0,0.0,0.999
106.0,0.0,0.999
110.0,0.0,0.999
112.0,0.0,0.999
115.0,0.0,0.999
117.0,0.0,0.999
118.0,0.0,0.999
120.0,0.0,0.999
121.0,0.0,0.999
122.0,0.0,0.999
123.0,0.0,0.999
124.0,0.0,0.999
126.0,0.0,0.999
128.0,0.0,0.999
130.0,0.0,0.999
132.0,0.0,0.999
133.0,0.0,0.999
135.0,0.0,0.999
137.0,0.0,0.999
138.0,0.0,0.999
139.0,0.0,0.999
141.0,0.0,0.999
142.0,0.0,0.999
144.0,0.0,0.999
145.0,0.0,0.999
147.0,0.0,0.999
149.0,0.0,0.999
151.0,0.0,0.999
153.0,0.0,0.999
154.0,0.0,0.999
155.0,0.0,0.999
156.0,0.0,0.999
157.0,0.0,0.999
158.0,0.0,0.999
160.0,0.0,0.999
161.0,0.0,0.999
164.0,0.0,0.999
165.0,0.0,0.999
166.0,0.0,0.999
167.0,0.0,0.999
168.0,0.0,0.999
169.0,0.0,0.999
170.0,0.0,0.999
171.0,0.0,0.999
172.0,0.0,0.999
174.0,0.0,0.999
177.0,0.0,0.999
178.0,0.0,0.999
180.0,0.0,0.999
181.0,0.0,0.999
183.0,0.0,0.999
184.0,0.0,0.999
185.0,0.0,0.999
188.0,0.0,0.999
190.0,0.0,0.999
191.0,0.0,0.999
192.0,0.0,0.999
193.0,0.0,0.999
195.0,0.0,0.999
196.0,0.0,0.999
198.0,0.0,0.999
201.0,0.0,0.999
205.0,0.0,0.999
206.0,0.0,0.999
207.0,0.0,0.999
208.0,0.0,0.999
212.0,0.0,0.999
214.0,0.0,0.999
216.0,0.0,0.999
217.0,0.0,0.999
220.0,0.0,0.999
221.0,0.0,0.999
222.0,0.0,0.999
225.0,0.0,0.999
227.0,0.0,0.999
229.0,0.0,0.999
233.0,0.0,0.999
235.0,0.0,0.999
238.0,0.0,0.999
240.0,0.0,0.999
242.0,0.0,0.999
243.0,0.0,0.999
244.0,0.0,0.999
246.0,0.0,0.999
249.0,0.0,0.999
250.0,0.0,0.999
251.0,0.0,0.999
253.0,0.0,0.999
254.0,0.0,0.999
256.0,0.0,0.999
257.0,0.0,0.999
259.0,0.0,0.999
260.0,0.0,0.999
262.0,0.0,0.999
263.0,0.0,0.999
266.0,0.0,0.999
271.0,0.0,0.999
272.0,0.0,0.999
273.0,0.0,0.999
274.0,0.0,0.999
276.0,0.0,0.999
277.0,0.0,0.999
279.0,0.0,0.999
280.0,0.0,0.999
281.0,0.0,0.999
282.0,0.0,0.999
285.0,0.0,0.999
286.0,0.0,0.999
288.0,0.0,0.999
289.0,0.0,0.999
292.0,0.0,0.999
295.0,0.0,0.999
297.0,0.0,0.999
298.0,0.0,0.999
299.0,0.0,0.999
300.0,0.0,0.999
302.0,0.0,0.999
305.0,0.0,0.999
306.0,0.0,0.999
307.0,0.0,0.999
308.0,0.0,0.999
310.0,0.0,0.999
311.0,0.0,0.999
314.0,0.0,0.999
317.0,0.0,0.999
319.0,0.0,0.999
320.0,0.0,0.999
321.0,0.0,0.999
322.0,0.0,0.999
324.0,0.0,0.999
325.0,0.0,0.999
326.0,0.0,0.999
328.0,0.0,0.999
329.0,0.0,0.999
332.0,0.0,0.999
333.0,0.0,0.999
335.0,0.0,0.999
337.0,0.0,0.999
338.0,0.0,0.999
339.0,0.0,0.999
340.0,0.0,0.999
341.0,0.0,0.999
342.0,0.0,0.999
344.0,0.0,0.999
347.0,0.0,0.999
348.0,0.0,0.999
349.0,0.0,0.999
351.0,0.0,0.999
352.0,0.0,0.999
354.0,0.0,0.999
355.0,0.0,0.999
358.0,0.0,0.999
360.0,0.0,0.999
361.0,0.0,0.999
363.0,0.0,0.999
365.0,0.0,0.999
367.0,0.0,0.999
370.0,0.0,0.999
371.0,0.0,0.999
372.0,0.0,0.999
373.0,0.0,0.999
374.0,0.0,0.999
376.0,0.0,0.999
378.0,0.0,0.999
379.0,0.0,0.999
382.0,0.0,0.999
383.0,0.0,0.999
384.0,0.0,0.999
385.0,0.0,0.999
386.0,0.0,0.999
387.0,0.0,0.999
388.0,0.0,0.999
390.0,0.0,0.999
391.0,0.0,0.999
392.0,0.0,0.999
393.0,0.0,0.999
395.0,0.0,0.999
396.0,0.0,0.999
397.0,0.0,0.999
398.0,0.0,0.999
399.0,0.0,0.999
401.0,0.0,0.999
402.0,0.0,0.999
404.0,0.0,0.999
405.0,0.0,0.999
407.0,0.0,0.999
408.0,0.0,0.999
410.0,0.0,0.999
412.0,0.0,0.999
413.0,0.0,0.999
414.0,0.0,0.999
417.0,0.0,0.999
418.0,0.0,0.999
419.0,0.0,0.999
420.0,0.0,0.999
422.0,0.0,0.999
425.0,0.0,0.999
426.0,0.0,0.999
427.0,0.0,0.999
429.0,0.0,0.999
430.0,0.0,0.999
431.0,0.0,0.999
432.0,0.0,0.999
433.0,0.0,0.999
434.0,0.0,0.999
436.0,0.0,0.999
437.0,0.0,0.999
438.0,0.0,0.999
439.0,0.0,0.999
441.0,0.0,0.999
443.0,0.0,0.999
444.0,0.0,0.999
445.0,0.0,0.999
447.0,0.0,0.999
448.0,0.0,0.999
449.0,0.0,0.999
450.0,0.0,0.999
451.0,0.0,0.999
452.0,0.0,0.999
453.0,0.0,0.999
454.0,0.0,0.999
457.0,0.0,0.999
458.0,0.0,0.999
459.0,0.0,0.999
460.0,0.0,0.999
461.0,0.0,0.999
462.0,0.0,0.999
465.0,0.0,0.999
467.0,0.0,0.999
470.0,0.0,0.999
471.0,0.0,0.999
473.0,0.0,0.999
474.0,0.0,0.999
476.0,0.0,0.999
477.0,0.0,0.999
478.0,0.0,0.999
479.0,0.0,0.999
480.0,0.0,0.999
481.0,0.0,0.999
483.0,0.0,0.999
484.0,0.0,0.999
485.0,0.0,0.999
486.0,0.0,0.999
487.0,0.0,0.999
489.0,0.0,0.999
490.0,0.0,0.999
491.0,0.0,0.999
492.0,0.0,0.999
494.0,0.0,0.999
495.0,0.0,0.999
496.0,0.0,0.999
499.0,0.0,0.999
504.0,0.0,0.999
505.0,0.0,0.999
506.0,0.0,0.999
508.0,0.0,0.999
512.0,0.0,0.999
513.0,0.0,0.999
515.0,0.0,0.999
518.0,0.0,0.999
523.0,0.0,0.999
524.0,0.0,0.999
527.0,0.0,0.999
528.0,0.0,0.999
529.0,0.0,0.999
530.0,0.0,0.999
532.0,0.0,0.999
533.0,0.0,0.999
535.0,0.0,0.999
536.0,0.0,0.999
538.0,0.0,0.999
539.0,0.0,0.999
540.0,0.0,0.999
541.0,0.0,0.999
542.0,0.0,0.999
543.0,0.0,0.999
544.0,0.0,0.999
546.0,0.0,0.999
547.0,0.0,0.999
548.0,0.0,0.999
549.0,0.0,0.999
551.0,0.0,0.999
552.0,0.0,0.999
555.0,0.0,0.999
556.0,0.0,0.999
557.0,0.0,0.999
559.0,0.0,0.999
560.0,0.0,0.999
561.0,0.0,0.999
562.0,0.0,0.999
564.0,0.0,0.999
567.0,0.0,0.999
568.0,0.0,0.999
573.0,0.0,0.999
574.0,0.0,0.999
575.0,0.0,0.999
578.0,0.0,0.999
579.0,0.0,0.999
581.0,0.0,0.999
584.0,0.0,0.999
586.0,0.0,0.999
587.0,0.0,0.999
589.0,0.0,0.999
591.0,0.0,0.999
592.0,0.0,0.999
593.0,0.0,0.999
594.0,0.0,0.999
595.0,0.0,0.999
596.0,0.0,0.999
597.0,0.0,0.999
600.0,0.0,0.999
602.0,0.0,0.999
604.0,0.0,0.999
605.0,0.0,0.999
606.0,0.0,0.999
607.0,0.0,0.999
608.0,0.0,0.999
610.0,0.0,0.999
612.0,0.0,0.999
614.0,0.0,0.999
616.0,0.0,0.999
617.0,0.0,0.999
620.0,0.0,0.999
622.0,0.0,0.999
623.0,0.0,0.999
624.0,0.0,0.999
626.0,0.0,0.999
629.0,0.0,0.999
630.0,0.0,0.999
633.0,0.0,0.999
634.0,0.0,0.999
636.0,0.0,0.999
637.0,0.0,0.999
640.0,0.0,0.999
641.0,0.0,0.999
642.0,0.0,0.999
645.0,0.0,0.999
647.0,0.0,0.999
648.0,0.0,0.999
649.0,0.0,0.999
651.0,0.0,0.999
657.0,0.0,0.999
659.0,0.0,0.999
660.0,0.0,0.999
661.0,0.0,0.999
662.0,0.0,0.999
665.0,0.0,0.999
666.0,0.0,0.999
