id,submit,wait in,input,wait run,run,wait out,output,complete,wait,response
80.0,85.0,0.0,1375.0,1377.0,6259.0,0.0,625.0,9721.0,1377.0,9636.0
98.0,101.0,0.0,1250.0,171.0,6905.0,59.0,1750.0,10236.0,230.0,10135.0
24.0,23.0,0.0,375.0,0.0,7889.0,140.0,3625.0,12052.0,140.0,12029.0
6.0,6.0,0.0,250.0,1825.0,7653.0,648.0,2500.0,12882.0,2473.0,12876.0
12.0,10.0,0.0,1250.0,0.0,10077.0,0.0,2000.0,13337.0,0.0,13327.0
140.0,144.0,13.0,1375.0,412.0,14269.0,0.0,1125.0,17338.0,425.0,17194.0
83.0,87.0,0.0,500.0,3918.0,13255.0,54.0,125.0,17939.0,3972.0,17852.0
31.0,31.0,0.0,1750.0,476.0,9435.0,1625.0,4875.0,18192.0,2101.0,18161.0
123.0,127.0,0.0,250.0,681.0,12599.0,1506.0,3875.0,19038.0,2187.0,18911.0
59.0,64.0,0.0,250.0,1416.0,14061.0,340.0,3000.0,19131.0,1756.0,19067.0
110.0,114.0,0.0,1875.0,8089.0,6651.0,291.0,2125.0,19145.0,8380.0,19031.0
54.0,58.0,0.0,1000.0,931.0,16186.0,2910.0,3250.0,24335.0,3841.0,24277.0
69.0,76.0,0.0,1875.0,7783.0,14911.0,172.0,2125.0,26942.0,7955.0,26866.0
64.0,69.0,0.0,1875.0,7777.0,16331.0,280.0,1375.0,27707.0,8057.0,27638.0
133.0,138.0,0.0,250.0,9219.0,16796.0,5014.0,4125.0,35542.0,14233.0,35404.0
22.0,22.0,0.0,1500.0,363.0,47107.0,0.0,250.0,49242.0,363.0,49220.0
104.0,107.0,0.0,3125.0,41616.0,4507.0,22.0,1375.0,50752.0,41638.0,50645.0
79.0,85.0,0.0,2625.0,41797.0,4513.0,246.0,2125.0,51391.0,42043.0,51306.0
9.0,7.0,0.0,2375.0,41589.0,3815.0,0.0,3625.0,51411.0,41589.0,51404.0
157.0,163.0,3085.0,500.0,41929.0,4177.0,777.0,1625.0,52256.0,45791.0,52093.0
126.0,130.0,0.0,375.0,1027.0,21059.0,24550.0,5125.0,52266.0,25577.0,52136.0
178.0,186.0,3916.0,375.0,42121.0,2259.0,100.0,3375.0,52332.0,46137.0,52146.0
27.0,24.0,0.0,1500.0,383.0,10100.0,35850.0,5000.0,52857.0,36233.0,52833.0
43.0,47.0,0.0,1750.0,472.0,14288.0,30318.0,6000.0,52875.0,30790.0,52828.0
182.0,190.0,4116.0,1500.0,43151.0,4385.0,0.0,125.0,53467.0,47267.0,53277.0
159.0,165.0,3143.0,1250.0,42076.0,7022.0,0.0,250.0,53906.0,45219.0,53741.0
93.0,96.0,0.0,3500.0,41995.0,6763.0,0.0,2125.0,54479.0,41995.0,54383.0
151.0,156.0,2889.0,750.0,41971.0,7150.0,0.0,1875.0,54791.0,44860.0,54635.0
184.0,192.0,4176.0,1250.0,42981.0,3632.0,0.0,3125.0,55356.0,47157.0,55164.0
103.0,105.0,0.0,1625.0,44770.0,7121.0,35.0,2250.0,55906.0,44805.0,55801.0
