id,submit,wait in,input,wait run,run,wait out,output,complete,wait,response
37.0,35.0,0.0,375.0,434.0,7484.0,0.0,250.0,8578.0,434.0,8543.0
135.0,140.0,188.0,1125.0,1844.0,5657.0,0.0,1875.0,10829.0,2032.0,10689.0
31.0,30.0,0.0,125.0,2311.0,10060.0,0.0,500.0,13026.0,2311.0,12996.0
113.0,112.0,0.0,2250.0,4763.0,3491.0,356.0,3750.0,14722.0,5119.0,14610.0
6.0,7.0,0.0,1125.0,1470.0,6778.0,1141.0,5250.0,15771.0,2611.0,15764.0
42.0,41.0,0.0,1250.0,1837.0,12402.0,0.0,625.0,16155.0,1837.0,16114.0
122.0,123.0,0.0,2375.0,4773.0,6914.0,0.0,2125.0,16310.0,4773.0,16187.0
78.0,74.0,0.0,3250.0,8792.0,4446.0,40.0,625.0,17227.0,8832.0,17153.0
99.0,100.0,0.0,3000.0,8715.0,5842.0,0.0,250.0,17907.0,8715.0,17807.0
111.0,111.0,0.0,2750.0,4985.0,7758.0,0.0,2500.0,18104.0,4985.0,17993.0
12.0,12.0,0.0,750.0,1736.0,11702.0,189.0,4125.0,18514.0,1925.0,18502.0
98.0,97.0,0.0,2500.0,4817.0,9280.0,15.0,2000.0,18709.0,4832.0,18612.0
70.0,67.0,0.0,1000.0,1530.0,15758.0,0.0,500.0,18855.0,1530.0,18788.0
95.0,94.0,0.0,2875.0,7511.0,4995.0,129.0,3375.0,18979.0,7640.0,18885.0
87.0,86.0,0.0,2375.0,4786.0,10539.0,0.0,1250.0,19036.0,4786.0,18950.0
65.0,64.0,0.0,1125.0,1828.0,15791.0,0.0,500.0,19308.0,1828.0,19244.0
73.0,72.0,0.0,2625.0,4912.0,10614.0,0.0,1250.0,19473.0,4912.0,19401.0
23.0,17.0,0.0,2500.0,4813.0,12168.0,4.0,750.0,20252.0,4817.0,20235.0
123.0,124.0,0.0,1250.0,1892.0,12974.0,200.0,3875.0,20315.0,2092.0,20191.0
3.0,3.0,0.0,1625.0,3837.0,10686.0,38.0,4375.0,20564.0,3875.0,20561.0
121.0,122.0,0.0,2625.0,4937.0,7175.0,1018.0,5375.0,21252.0,5955.0,21130.0
56.0,52.0,0.0,1000.0,1465.0,12835.0,334.0,5875.0,21561.0,1799.0,21509.0
128.0,128.0,0.0,875.0,450.0,18897.0,131.0,2375.0,22856.0,581.0,22728.0
33.0,31.0,0.0,250.0,6823.0,12205.0,449.0,4625.0,24383.0,7272.0,24352.0
48.0,46.0,0.0,500.0,3763.0,14550.0,245.0,6250.0,25354.0,4008.0,25308.0
146.0,152.0,2210.0,1625.0,11249.0,7905.0,1137.0,1125.0,25403.0,14596.0,25251.0
13.0,12.0,0.0,2000.0,4797.0,14840.0,306.0,4750.0,26705.0,5103.0,26693.0
57.0,54.0,0.0,1000.0,6418.0,17560.0,1673.0,375.0,27080.0,8091.0,27026.0
9.0,8.0,0.0,4125.0,11354.0,8815.0,2138.0,1125.0,27565.0,13492.0,27557.0
93.0,91.0,0.0,2375.0,10459.0,9138.0,1291.0,4250.0,27604.0,11750.0,27513.0
100.0,100.0,0.0,4125.0,11292.0,6648.0,1340.0,4625.0,28130.0,12632.0,28030.0
27.0,21.0,0.0,2750.0,4926.0,14350.0,1025.0,5250.0,28322.0,5951.0,28301.0
4.0,3.0,0.0,1250.0,1847.0,19972.0,1186.0,4375.0,28633.0,3033.0,28630.0
140.0,146.0,986.0,375.0,4007.0,16269.0,3400.0,5750.0,30933.0,8393.0,30787.0
26.0,21.0,0.0,2875.0,7517.0,11296.0,4671.0,6000.0,32380.0,12188.0,32359.0
161.0,169.0,3395.0,1000.0,16705.0,3716.0,1672.0,5750.0,32407.0,21772.0,32238.0
7.0,7.0,0.0,1000.0,11597.0,13897.0,5879.0,250.0,32630.0,17476.0,32623.0
50.0,47.0,0.0,3250.0,8717.0,15940.0,5422.0,375.0,33751.0,14139.0,33704.0
81.0,80.0,0.0,3375.0,8786.0,15518.0,5556.0,750.0,34065.0,14342.0,33985.0
15.0,12.0,0.0,500.0,862.0,11066.0,15482.0,6250.0,34172.0,16344.0,34160.0
131.0,133.0,934.0,2375.0,8706.0,19050.0,3751.0,125.0,35074.0,13391.0,34941.0
61.0,61.0,0.0,3250.0,8703.0,17063.0,5646.0,875.0,35598.0,14349.0,35537.0
49.0,46.0,0.0,3875.0,9346.0,15927.0,5690.0,1375.0,36259.0,15036.0,36213.0
145.0,151.0,2163.0,2250.0,16688.0,8540.0,5155.0,1500.0,36447.0,24006.0,36296.0
137.0,143.0,769.0,2250.0,8673.0,15863.0,5601.0,3875.0,37174.0,15043.0,37031.0
32.0,31.0,0.0,3625.0,9426.0,14121.0,5903.0,5500.0,38606.0,15329.0,38575.0
82.0,81.0,0.0,3625.0,9282.0,12642.0,6720.0,6375.0,38725.0,16002.0,38644.0
38.0,37.0,0.0,875.0,10875.0,24842.0,1532.0,1750.0,39911.0,12407.0,39874.0
106.0,105.0,0.0,4375.0,16566.0,14046.0,2957.0,1875.0,39924.0,19523.0,39819.0
25.0,19.0,0.0,2375.0,4831.0,11506.0,14991.0,6500.0,40222.0,19822.0,40203.0
126.0,128.0,0.0,3000.0,8765.0,24559.0,1671.0,2250.0,40373.0,10436.0,40245.0
59.0,59.0,0.0,4250.0,11256.0,17811.0,2039.0,5125.0,40540.0,13295.0,40481.0
51.0,48.0,0.0,125.0,589.0,1898.0,32062.0,6375.0,41097.0,32651.0,41049.0
46.0,44.0,0.0,3500.0,11568.0,20911.0,2069.0,3125.0,41217.0,13637.0,41173.0
71.0,68.0,0.0,4000.0,11367.0,19359.0,3136.0,6000.0,43930.0,14503.0,43862.0
41.0,40.0,0.0,4375.0,14795.0,21787.0,22.0,4750.0,45769.0,14817.0,45729.0
43.0,42.0,0.0,4375.0,16270.0,21413.0,26.0,4625.0,46751.0,16296.0,46709.0
154.0,162.0,3104.0,1750.0,38628.0,6212.0,0.0,2000.0,51856.0,41732.0,51694.0
90.0,88.0,0.0,4750.0,35535.0,7513.0,149.0,4375.0,52410.0,35684.0,52322.0
8.0,8.0,0.0,2125.0,4885.0,8233.0,30531.0,6750.0,52532.0,35416.0,52524.0
108.0,109.0,0.0,1500.0,38302.0,8250.0,0.0,4375.0,52536.0,38302.0,52427.0
18.0,16.0,0.0,4875.0,35617.0,10327.0,59.0,2000.0,52894.0,35676.0,52878.0
79.0,78.0,0.0,250.0,5135.0,5388.0,36499.0,6625.0,53975.0,41634.0,53897.0
178.0,190.0,4648.0,125.0,38534.0,6134.0,193.0,4375.0,54199.0,43375.0,54009.0
72.0,70.0,0.0,4625.0,35229.0,7904.0,897.0,6500.0,55225.0,36126.0,55155.0
213.0,232.0,6079.0,250.0,47003.0,2363.0,0.0,750.0,56677.0,53082.0,56445.0
19.0,16.0,0.0,3250.0,8627.0,41485.0,824.0,4875.0,59077.0,9451.0,59061.0
22.0,17.0,0.0,875.0,4470.0,48607.0,229.0,5000.0,59198.0,4699.0,59181.0
149.0,154.0,2593.0,2750.0,46817.0,3815.0,1887.0,1875.0,59891.0,51297.0,59737.0
170.0,178.0,4047.0,875.0,46419.0,4759.0,1682.0,2500.0,60460.0,52148.0,60282.0
11.0,11.0,0.0,4750.0,35461.0,16181.0,2275.0,2500.0,61178.0,37736.0,61167.0
241.0,256.0,6412.0,375.0,46973.0,4000.0,5863.0,2125.0,66004.0,59248.0,65748.0
35.0,34.0,0.0,1500.0,41188.0,14136.0,5944.0,5625.0,68427.0,47132.0,68393.0
186.0,203.0,4840.0,1500.0,46835.0,3634.0,6468.0,5250.0,68730.0,58143.0,68527.0
258.0,282.0,6881.0,1000.0,46937.0,4270.0,9057.0,1000.0,69427.0,62875.0,69145.0
182.0,196.0,4767.0,2000.0,47053.0,3635.0,6165.0,5625.0,69441.0,57985.0,69245.0
29.0,26.0,0.0,5250.0,46821.0,7525.0,9475.0,500.0,69597.0,56296.0,69571.0
