time,cpu,bb
1.0,0.0,0.010750000000000037
3.0,0.0,0.025249999999999995
5.0,0.0,0.034499999999999975
7.0,0.0,0.04600000000000004
8.0,0.0,0.06074999999999997
11.0,0.0,0.06974999999999998
12.0,0.0,0.10075
13.0,0.0,0.12450000000000006
16.0,0.0,0.132
17.0,0.0,0.18125000000000002
18.0,0.0,0.19499999999999995
20.0,0.0,0.21125000000000005
21.0,0.0,0.22599999999999998
22.0,0.0,0.23575000000000002
24.0,0.0,0.269
25.0,0.0,0.2935
26.0,0.0,0.3115
28.0,0.0,0.34325000000000006
30.0,0.0,0.34475
32.0,0.0,0.35824999999999996
33.0,0.0,0.37150000000000005
34.0,0.0,0.39425
37.0,0.0,0.41525
38.0,0.0,0.4395
39.0,0.0,0.44875
40.0,0.0,0.48924999999999996
41.0,0.0,0.50025
42.0,0.0,0.50925
43.0,0.0,0.53925
44.0,0.0,0.54725
46.0,0.0,0.55725
47.0,0.0,0.5860000000000001
48.0,0.0,0.6014999999999999
49.0,0.0,0.61075
52.0,0.0,0.61625
54.0,0.0,0.62425
55.0,0.0,0.65125
56.0,0.0,0.6759999999999999
58.0,0.0,0.688
59.0,0.0,0.70025
60.0,0.0,0.71425
61.0,0.0,0.7242500000000001
62.0,0.0,0.739
64.0,0.0,0.7475
65.0,0.0,0.76925
66.0,0.0,0.7785
67.0,0.0,0.80575
69.0,0.0,0.8205
72.0,0.0,0.8265
74.0,0.0,0.8365
77.0,0.0,0.86075
78.0,0.0,0.872
79.0,0.0,0.886
80.0,0.0,0.9117500000000001
82.0,0.0,0.92325
84.0,0.0,0.927
85.0,0.0,0.93525
86.0,0.0,0.9485
88.0,0.0,0.9645
89.0,0.0,0.975
90.0,0.0,0.986
91.0,0.0,0.99675
92.0,0.0,0.99675
96.0,0.0,0.99675
97.0,0.0,0.99675
99.0,0.0,0.99675
102.0,0.0,0.99675
103.0,0.0,0.99675
106.0,0.0,0.99675
107.0,0.0,0.99675
108.0,0.0,0.99675
109.0,0.0,0.99675
110.0,0.0,0.99675
111.0,0.0,0.99675
112.0,0.0,0.99675
114.0,0.0,0.99675
115.0,0.0,0.99675
118.0,0.0,0.99675
121.0,0.0,0.99675
122.0,0.0,0.99675
125.0,0.0,0.99675
127.0,0.0,0.99675
128.0,0.0,0.99675
130.0,0.0,0.99675
135.0,0.0,0.99675
137.0,0.0,0.99675
139.0,0.0,0.99675
141.0,0.0,0.99675
143.0,0.0,0.99675
144.0,0.0,0.99675
147.0,0.0,0.99675
149.0,0.0,0.99675
150.0,0.0,0.99675
151.0,0.0,0.99675
152.0,0.0,0.99675
153.0,0.0,0.99675
154.0,0.0,0.99675
156.0,0.0,0.99675
158.0,0.0,0.99675
159.0,0.0,0.99675
160.0,0.0,0.99675
162.0,0.0,0.99675
163.0,0.0,0.99675
165.0,0.0,0.99675
167.0,0.0,0.99675
168.0,0.0,0.99675
170.0,0.0,0.99675
172.0,0.0,0.99675
173.0,0.0,0.99675
174.0,0.0,0.99675
176.0,0.0,0.99675
180.0,0.0,0.99675
182.0,0.0,0.99675
184.0,0.0,0.99675
185.0,0.0,0.99675
186.0,0.0,0.99675
188.0,0.0,0.99675
190.0,0.0,0.99675
191.0,0.0,0.99675
192.0,0.0,0.99675
194.0,0.0,0.99675
195.0,0.0,0.99675
199.0,0.0,0.99675
200.0,0.0,0.99675
204.0,0.0,0.99675
207.0,0.0,0.99675
208.0,0.0,0.99675
