id,submit,input,run,output,complete,wait,response
112.0,115.0,4400.0,5012.0,4400.0,13927.0,0.0,13812.0
110.0,114.0,5200.0,8851.0,5200.0,19365.0,0.0,19251.0
91.0,94.0,7600.0,8007.0,7600.0,23301.0,0.0,23207.0
121.0,126.0,7600.0,9650.0,7600.0,24976.0,0.0,24850.0
29.0,27.0,8400.0,8550.0,8400.0,25377.0,0.0,25350.0
30.0,28.0,7600.0,13883.0,7600.0,29111.0,0.0,29083.0
35.0,33.0,8000.0,14011.0,8000.0,30044.0,0.0,30011.0
119.0,121.0,6400.0,17457.0,6400.0,30378.0,0.0,30257.0
120.0,125.0,6800.0,17857.0,6800.0,31582.0,0.0,31457.0
108.0,113.0,10800.0,10925.0,10800.0,32638.0,0.0,32525.0
53.0,53.0,10000.0,12907.0,10000.0,32960.0,0.0,32907.0
87.0,89.0,10000.0,13664.0,10000.0,33753.0,0.0,33664.0
145.0,140.0,10000.0,13665.0,10000.0,33805.0,0.0,33665.0
37.0,35.0,9600.0,15084.0,9600.0,34319.0,0.0,34284.0
153.0,147.0,11600.0,13454.0,11600.0,36801.0,0.0,36654.0
7.0,4.0,10800.0,16947.0,10800.0,38551.0,0.0,38547.0
8.0,6.0,12400.0,15133.0,12400.0,39939.0,0.0,39933.0
18.0,15.0,13200.0,13527.0,13200.0,39942.0,0.0,39927.0
34.0,31.0,11600.0,17744.0,11600.0,40975.0,0.0,40944.0
139.0,139.0,10000.0,21002.0,10000.0,41141.0,0.0,41002.0
114.0,116.0,13600.0,14215.0,13600.0,41531.0,0.0,41415.0
54.0,57.0,10400.0,21461.0,10400.0,42318.0,0.0,42261.0
58.0,61.0,10400.0,21473.0,10400.0,42334.0,0.0,42273.0
65.0,65.0,10800.0,21841.0,10800.0,43506.0,0.0,43441.0
68.0,69.0,10800.0,21867.0,10800.0,43536.0,0.0,43467.0
14.0,12.0,12000.0,19580.0,12000.0,43592.0,0.0,43580.0
148.0,142.0,14400.0,14664.0,14400.0,43606.0,0.0,43464.0
92.0,95.0,14000.0,15863.0,14000.0,43958.0,0.0,43863.0
21.0,20.0,13600.0,17251.0,13600.0,44471.0,0.0,44451.0
147.0,142.0,13600.0,17270.0,13600.0,44612.0,0.0,44470.0
79.0,80.0,14800.0,14938.0,14800.0,44618.0,0.0,44538.0
33.0,31.0,12800.0,19005.0,12800.0,44636.0,0.0,44605.0
67.0,65.0,11200.0,22230.0,11200.0,44695.0,0.0,44630.0
143.0,140.0,11200.0,22176.0,11200.0,44716.0,0.0,44576.0
70.0,70.0,11200.0,22333.0,11200.0,44803.0,0.0,44733.0
27.0,24.0,13200.0,19425.0,13200.0,45849.0,0.0,45825.0
100.0,105.0,15200.0,15348.0,15200.0,45853.0,0.0,45748.0
55.0,57.0,11600.0,22667.0,11600.0,45924.0,0.0,45867.0
15.0,13.0,12800.0,20366.0,12800.0,45979.0,0.0,45966.0
13.0,11.0,12800.0,20390.0,12800.0,46001.0,0.0,45990.0
84.0,84.0,14000.0,18564.0,14000.0,46648.0,0.0,46564.0
6.0,4.0,14400.0,18053.0,14400.0,46857.0,0.0,46853.0
41.0,38.0,12000.0,23037.0,12000.0,47075.0,0.0,47037.0
151.0,145.0,14800.0,18450.0,14800.0,48195.0,0.0,48050.0
116.0,116.0,15200.0,18856.0,15200.0,49372.0,0.0,49256.0
106.0,112.0,15600.0,19271.0,15600.0,50583.0,0.0,50471.0
138.0,138.0,13200.0,24251.0,13200.0,50789.0,0.0,50651.0
159.0,150.0,16800.0,17447.0,16800.0,51197.0,0.0,51047.0
48.0,49.0,14000.0,23175.0,14000.0,51224.0,0.0,51175.0
47.0,47.0,14400.0,23909.0,14400.0,52756.0,0.0,52709.0
83.0,84.0,15200.0,22455.0,15200.0,52939.0,0.0,52855.0
81.0,84.0,15200.0,22468.0,15200.0,52952.0,0.0,52868.0
97.0,99.0,17600.0,17759.0,17600.0,53058.0,0.0,52959.0
17.0,14.0,17600.0,18501.0,17600.0,53715.0,0.0,53701.0
126.0,127.0,12000.0,29809.0,12000.0,53936.0,0.0,53809.0
80.0,82.0,18000.0,18134.0,18000.0,54216.0,0.0,54134.0
99.0,101.0,18000.0,18217.0,18000.0,54318.0,0.0,54217.0
115.0,116.0,18000.0,18614.0,18000.0,54730.0,0.0,54614.0
