id,submit,wait in,input,wait run,run,wait out,output,complete,wait,response
112.0,111.0,0.0,125.0,0.0,737.0,0.0,1375.0,2348.0,0.0,2237.0
33.0,29.0,0.0,250.0,563.0,10205.0,0.0,750.0,11797.0,563.0,11768.0
91.0,84.0,0.0,2375.0,40172.0,1907.0,0.0,250.0,44788.0,40172.0,44704.0
121.0,117.0,0.0,2375.0,40139.0,2550.0,206.0,625.0,46012.0,40345.0,45895.0
29.0,24.0,0.0,2250.0,40232.0,2775.0,3752.0,250.0,49283.0,43984.0,49259.0
114.0,111.0,0.0,1625.0,40125.0,3240.0,199.0,4250.0,49550.0,40324.0,49439.0
108.0,104.0,0.0,3125.0,39978.0,3500.0,2541.0,625.0,49873.0,42519.0,49769.0
110.0,106.0,0.0,750.0,40622.0,4776.0,2805.0,1625.0,50684.0,43427.0,50578.0
53.0,50.0,0.0,1250.0,40186.0,4782.0,2841.0,3125.0,52234.0,43027.0,52184.0
18.0,14.0,0.0,3125.0,40032.0,3577.0,2551.0,4125.0,53424.0,42583.0,53410.0
97.0,92.0,0.0,5500.0,39603.0,2659.0,5570.0,125.0,53549.0,45173.0,53457.0
79.0,74.0,0.0,3500.0,40012.0,4763.0,5171.0,250.0,53770.0,45183.0,53696.0
17.0,14.0,0.0,1000.0,40465.0,3776.0,3778.0,5500.0,54533.0,44243.0,54519.0
148.0,150.0,2659.0,1875.0,39585.0,4764.0,5304.0,500.0,54837.0,47548.0,54687.0
90.0,84.0,0.0,5750.0,39553.0,3263.0,5109.0,1250.0,55009.0,44662.0,54925.0
92.0,86.0,0.0,1750.0,40117.0,6238.0,5329.0,1625.0,55145.0,45446.0,55059.0
103.0,98.0,0.0,2000.0,39919.0,5871.0,5536.0,1875.0,55299.0,45455.0,55201.0
107.0,104.0,0.0,2750.0,39884.0,6371.0,5495.0,750.0,55354.0,45379.0,55250.0
99.0,92.0,0.0,5625.0,39564.0,3967.0,5356.0,1000.0,55604.0,44920.0,55512.0
171.0,179.0,3969.0,1375.0,39616.0,1396.0,2713.0,6375.0,55623.0,46298.0,55444.0
96.0,92.0,0.0,750.0,40522.0,7275.0,5120.0,1875.0,55634.0,45642.0,55542.0
115.0,113.0,0.0,2250.0,40154.0,6239.0,5285.0,2250.0,56291.0,45439.0,56178.0
30.0,25.0,0.0,1875.0,40053.0,8658.0,5792.0,125.0,56528.0,45845.0,56503.0
37.0,33.0,0.0,1375.0,40125.0,6859.0,5278.0,3000.0,56670.0,45403.0,56637.0
178.0,183.0,4272.0,1750.0,40502.0,1259.0,5554.0,3250.0,56770.0,50328.0,56587.0
80.0,76.0,0.0,5625.0,39554.0,4259.0,6627.0,875.0,57016.0,46181.0,56940.0
35.0,32.0,0.0,2500.0,40112.0,7136.0,6420.0,875.0,57075.0,46532.0,57043.0
87.0,81.0,0.0,3000.0,39908.0,6789.0,6422.0,1375.0,57575.0,46330.0,57494.0
145.0,149.0,2383.0,3125.0,39571.0,5165.0,5898.0,1500.0,57791.0,47852.0,57642.0
175.0,183.0,4180.0,500.0,39789.0,4647.0,6005.0,2500.0,57804.0,49974.0,57621.0
8.0,9.0,0.0,3125.0,40037.0,5608.0,5344.0,3875.0,57998.0,45381.0,57989.0
72.0,69.0,0.0,250.0,40823.0,7529.0,5353.0,4250.0,58274.0,46176.0,58205.0
109.0,105.0,0.0,250.0,40811.0,6371.0,5693.0,5125.0,58355.0,46504.0,58250.0
258.0,287.0,6687.0,125.0,41778.0,2395.0,5790.0,1500.0,58562.0,54255.0,58275.0
106.0,103.0,0.0,375.0,40725.0,8546.0,6451.0,2625.0,58825.0,47176.0,58722.0
100.0,94.0,0.0,4125.0,39760.0,4898.0,5417.0,4625.0,58919.0,45177.0,58825.0
105.0,102.0,0.0,6000.0,40290.0,5373.0,7060.0,500.0,59325.0,47350.0,59223.0
161.0,166.0,3408.0,2250.0,39557.0,6466.0,7072.0,500.0,59419.0,50037.0,59253.0
111.0,109.0,0.0,6375.0,40711.0,508.0,5721.0,6000.0,59424.0,46432.0,59315.0
7.0,9.0,0.0,625.0,40569.0,9397.0,5703.0,3375.0,59678.0,46272.0,59669.0
153.0,157.0,2924.0,3625.0,41148.0,3479.0,5788.0,2875.0,59996.0,49860.0,59839.0
16.0,13.0,0.0,2125.0,40109.0,4585.0,6398.0,7000.0,60230.0,46507.0,60217.0
21.0,19.0,0.0,4250.0,39748.0,6151.0,6097.0,4000.0,60265.0,45845.0,60246.0
6.0,9.0,0.0,2500.0,40122.0,7278.0,6340.0,4500.0,60749.0,46462.0,60740.0
189.0,205.0,5040.0,1625.0,41780.0,645.0,5714.0,5750.0,60759.0,52534.0,60554.0
147.0,150.0,2656.0,1625.0,39770.0,7045.0,5811.0,4250.0,61307.0,48237.0,61157.0
135.0,140.0,1872.0,2875.0,39765.0,4407.0,5545.0,6750.0,61354.0,47182.0,61214.0
78.0,74.0,0.0,3375.0,39834.0,5696.0,5358.0,7250.0,61587.0,45192.0,61513.0
187.0,201.0,4798.0,1125.0,40268.0,3022.0,6469.0,5875.0,61758.0,51535.0,61557.0
34.0,32.0,0.0,2375.0,40149.0,9769.0,7911.0,1625.0,61861.0,48060.0,61829.0
180.0,192.0,4264.0,1000.0,39645.0,5508.0,5794.0,5625.0,62028.0,49703.0,61836.0
120.0,117.0,0.0,625.0,40494.0,11307.0,7722.0,2125.0,62390.0,48216.0,62273.0
116.0,113.0,0.0,4250.0,39761.0,7406.0,6124.0,4750.0,62404.0,45885.0,62291.0
84.0,79.0,0.0,4375.0,39747.0,8439.0,8119.0,1750.0,62509.0,47866.0,62430.0
86.0,81.0,0.0,4375.0,39793.0,5246.0,6646.0,6375.0,62516.0,46439.0,62435.0
14.0,12.0,0.0,3750.0,39852.0,8330.0,7479.0,3125.0,62548.0,47331.0,62536.0
95.0,91.0,0.0,6375.0,40729.0,4120.0,5750.0,5500.0,62565.0,46479.0,62474.0
150.0,151.0,2747.0,1125.0,39830.0,7622.0,5867.0,5625.0,62967.0,48444.0,62816.0
93.0,86.0,0.0,6000.0,40208.0,5888.0,8048.0,3000.0,63230.0,48256.0,63144.0
173.0,183.0,4086.0,2625.0,41777.0,5300.0,8594.0,750.0,63315.0,54457.0,63132.0
224.0,247.0,6013.0,625.0,41765.0,4026.0,8465.0,2250.0,63391.0,56243.0,63144.0
23.0,21.0,0.0,1125.0,40333.0,9418.0,5873.0,6750.0,63520.0,46206.0,63499.0
101.0,96.0,0.0,7125.0,42293.0,4510.0,8541.0,1000.0,63565.0,50834.0,63469.0
27.0,23.0,0.0,4125.0,39760.0,9725.0,8809.0,1125.0,63567.0,48569.0,63544.0
81.0,78.0,0.0,1625.0,40097.0,9893.0,7132.0,4750.0,63575.0,47229.0,63497.0
48.0,47.0,0.0,1125.0,40314.0,10425.0,7486.0,4375.0,63772.0,47800.0,63725.0
54.0,50.0,0.0,3250.0,39907.0,11311.0,8763.0,625.0,63906.0,48670.0,63856.0
168.0,175.0,3803.0,875.0,39679.0,7159.0,6033.0,6250.0,63974.0,49515.0,63799.0
113.0,111.0,0.0,7375.0,43752.0,3366.0,8677.0,875.0,64156.0,52429.0,64045.0
162.0,167.0,3463.0,3000.0,41224.0,3384.0,5819.0,7125.0,64182.0,50506.0,64015.0
119.0,116.0,0.0,2000.0,39901.0,11932.0,8616.0,1625.0,64190.0,48517.0,64074.0
221.0,246.0,5959.0,1125.0,42419.0,5165.0,8557.0,1125.0,64596.0,56935.0,64350.0
15.0,13.0,0.0,3500.0,39903.0,11566.0,8538.0,1250.0,64770.0,48441.0,64757.0
213.0,237.0,5785.0,750.0,41419.0,7113.0,8216.0,1250.0,64770.0,55420.0,64533.0
74.0,71.0,0.0,5500.0,39568.0,8159.0,9106.0,2375.0,64779.0,48674.0,64708.0
67.0,66.0,0.0,1500.0,40207.0,14530.0,7853.0,625.0,64781.0,48060.0,64715.0
278.0,311.0,7081.0,375.0,44415.0,2735.0,8554.0,1625.0,65096.0,60050.0,64785.0
36.0,33.0,0.0,1625.0,40142.0,11389.0,8953.0,3000.0,65142.0,49095.0,65109.0
13.0,12.0,0.0,4000.0,39814.0,10215.0,8926.0,2375.0,65342.0,48740.0,65330.0
1.0,2.0,0.0,5750.0,39548.0,9560.0,8531.0,2250.0,65641.0,48079.0,65639.0
184.0,199.0,4623.0,1375.0,40510.0,6507.0,8928.0,3625.0,65767.0,54061.0,65568.0
