id,submit,wait in,input,wait run,run,wait out,output,complete,wait,response
100.0,61.0,0.0,125.0,0.0,1398.0,320.0,4375.0,6279.0,320.0,6218.0
33.0,17.0,0.0,250.0,0.0,6955.0,0.0,625.0,7847.0,0.0,7830.0
91.0,57.0,0.0,750.0,4906.0,657.0,0.0,2500.0,8870.0,4906.0,8813.0
5.0,1.0,0.0,125.0,0.0,8071.0,108.0,750.0,9055.0,108.0,9054.0
105.0,64.0,0.0,500.0,3820.0,2123.0,120.0,2875.0,9502.0,3940.0,9438.0
88.0,56.0,0.0,250.0,3875.0,5548.0,0.0,875.0,10604.0,3875.0,10548.0
79.0,53.0,0.0,875.0,4878.0,2138.0,1.0,3000.0,10945.0,4879.0,10892.0
108.0,64.0,0.0,625.0,3883.0,3750.0,103.0,2875.0,11300.0,3986.0,11236.0
99.0,61.0,0.0,625.0,3853.0,2467.0,0.0,4625.0,11631.0,3853.0,11570.0
14.0,4.0,0.0,375.0,3802.0,7705.0,380.0,4500.0,16766.0,4182.0,16762.0
37.0,19.0,0.0,750.0,4944.0,8109.0,117.0,4125.0,18064.0,5061.0,18045.0
10.0,3.0,0.0,1125.0,8013.0,5911.0,143.0,3500.0,18695.0,8156.0,18692.0
62.0,46.0,0.0,625.0,3859.0,15061.0,1292.0,750.0,21633.0,5151.0,21587.0
74.0,50.0,0.0,1125.0,8554.0,8284.0,2795.0,2250.0,23058.0,11349.0,23008.0
133.0,91.0,0.0,625.0,4997.0,12671.0,2498.0,2500.0,23382.0,7495.0,23291.0
71.0,50.0,0.0,375.0,3756.0,13359.0,2650.0,4250.0,24440.0,6406.0,24390.0
60.0,42.0,0.0,500.0,3842.0,13335.0,3025.0,4000.0,24744.0,6867.0,24702.0
48.0,32.0,0.0,1000.0,7809.0,10550.0,1492.0,4250.0,25133.0,9301.0,25101.0
61.0,43.0,0.0,875.0,4888.0,14938.0,215.0,4625.0,25584.0,5103.0,25541.0
82.0,54.0,0.0,875.0,4895.0,10392.0,3959.0,6500.0,26675.0,8854.0,26621.0
44.0,27.0,0.0,250.0,3770.0,17484.0,1527.0,4250.0,27308.0,5297.0,27281.0
24.0,11.0,0.0,1375.0,13297.0,6764.0,1568.0,5250.0,28265.0,14865.0,28254.0
97.0,61.0,0.0,1125.0,12973.0,6784.0,2066.0,6375.0,29384.0,15039.0,29323.0
132.0,91.0,0.0,1125.0,13095.0,15825.0,29281.0,250.0,59667.0,42376.0,59576.0
93.0,58.0,0.0,5250.0,44500.0,263.0,10191.0,250.0,60512.0,54691.0,60454.0
29.0,15.0,0.0,3500.0,44412.0,3525.0,8883.0,500.0,60835.0,53295.0,60820.0
53.0,37.0,0.0,2875.0,44899.0,4032.0,8940.0,125.0,60908.0,53839.0,60871.0
117.0,71.0,0.0,1500.0,15063.0,12567.0,30216.0,1625.0,61042.0,45279.0,60971.0
3.0,0.0,0.0,1500.0,14072.0,12186.0,31359.0,2125.0,61242.0,45431.0,61242.0
19.0,9.0,0.0,625.0,3792.0,38110.0,17467.0,1500.0,61503.0,21259.0,61494.0
77.0,52.0,0.0,1875.0,15134.0,29987.0,13140.0,1500.0,61688.0,28274.0,61636.0
121.0,74.0,0.0,2875.0,44870.0,3800.0,9164.0,1375.0,62158.0,54034.0,62084.0
57.0,40.0,0.0,1750.0,14963.0,13560.0,29104.0,2750.0,62167.0,44067.0,62127.0
51.0,36.0,0.0,2375.0,44842.0,4273.0,9257.0,1625.0,62408.0,54099.0,62372.0
50.0,34.0,0.0,1375.0,13296.0,11065.0,33347.0,3375.0,62492.0,46643.0,62458.0
39.0,21.0,0.0,1875.0,15104.0,14999.0,27897.0,2625.0,62521.0,43001.0,62500.0
103.0,61.0,0.0,7375.0,44266.0,1996.0,8402.0,625.0,62725.0,52668.0,62664.0
89.0,56.0,0.0,4125.0,43947.0,610.0,11450.0,2875.0,63063.0,55397.0,63007.0
115.0,70.0,0.0,4375.0,44189.0,739.0,10889.0,3000.0,63262.0,55078.0,63192.0
78.0,52.0,0.0,5500.0,44289.0,3196.0,8325.0,2125.0,63487.0,52614.0,63435.0
158.0,117.0,4205.0,1875.0,44602.0,1425.0,8642.0,2625.0,63491.0,57449.0,63374.0
9.0,3.0,0.0,4625.0,44444.0,2815.0,8896.0,3250.0,64033.0,53340.0,64030.0
42.0,22.0,0.0,1250.0,13410.0,15652.0,29560.0,4375.0,64269.0,42970.0,64247.0
147.0,105.0,2795.0,500.0,44527.0,8045.0,7553.0,875.0,64400.0,54875.0,64295.0
80.0,54.0,0.0,2500.0,44710.0,5134.0,8470.0,3625.0,64493.0,53180.0,64439.0
52.0,37.0,0.0,500.0,3845.0,41363.0,14443.0,4375.0,64563.0,18288.0,64526.0
113.0,65.0,0.0,4875.0,44631.0,7116.0,7713.0,250.0,64650.0,52344.0,64585.0
46.0,29.0,0.0,1875.0,15157.0,16536.0,26316.0,4875.0,64788.0,41473.0,64759.0
145.0,101.0,2691.0,4000.0,44722.0,6165.0,7109.0,125.0,64913.0,54522.0,64812.0
163.0,122.0,4380.0,2125.0,44380.0,4713.0,7767.0,1500.0,64987.0,56527.0,64865.0
173.0,128.0,4687.0,1500.0,44576.0,2050.0,8301.0,3750.0,64992.0,57564.0,64864.0
216.0,174.0,6098.0,2875.0,45897.0,744.0,7703.0,1625.0,65116.0,59698.0,64942.0
72.0,50.0,0.0,4500.0,44383.0,1529.0,9873.0,4875.0,65210.0,54256.0,65160.0
