id,submit,input,run,output,complete,wait,response
86.0,840.0,125.0,246.0,125.0,1336.0,0.0,496.0
29.0,288.0,625.0,775.0,625.0,2313.0,0.0,2025.0
18.0,172.0,625.0,952.0,625.0,2374.0,0.0,2202.0
17.0,159.0,500.0,1401.0,500.0,2560.0,0.0,2401.0
111.0,1079.0,500.0,633.0,500.0,2712.0,0.0,1633.0
10.0,95.0,625.0,1536.0,625.0,2881.0,0.0,2786.0
95.0,911.0,625.0,745.0,625.0,2906.0,0.0,1995.0
51.0,499.0,750.0,1023.0,750.0,3022.0,0.0,2523.0
80.0,779.0,750.0,884.0,750.0,3163.0,0.0,2384.0
105.0,1020.0,750.0,873.0,750.0,3393.0,0.0,2373.0
108.0,1049.0,750.0,875.0,750.0,3424.0,0.0,2375.0
109.0,1060.0,750.0,871.0,750.0,3431.0,0.0,2371.0
72.0,703.0,875.0,1029.0,875.0,3482.0,0.0,2779.0
16.0,152.0,1000.0,1335.0,1000.0,3487.0,0.0,3335.0
9.0,87.0,1000.0,1565.0,1000.0,3652.0,0.0,3565.0
107.0,1042.0,875.0,996.0,875.0,3788.0,0.0,2746.0
161.0,1577.0,625.0,966.0,625.0,3793.0,0.0,2216.0
99.0,957.0,875.0,1092.0,875.0,3799.0,0.0,2842.0
79.0,770.0,1000.0,1138.0,1000.0,3908.0,0.0,3138.0
91.0,880.0,875.0,1282.0,875.0,3912.0,0.0,3032.0
97.0,935.0,1000.0,1159.0,1000.0,4094.0,0.0,3159.0
158.0,1548.0,625.0,1300.0,625.0,4098.0,0.0,2550.0
100.0,968.0,1000.0,1148.0,1000.0,4116.0,0.0,3148.0
103.0,995.0,1000.0,1121.0,1000.0,4116.0,0.0,3121.0
96.0,922.0,1000.0,1275.0,1000.0,4197.0,0.0,3275.0
94.0,903.0,500.0,2311.0,500.0,4214.0,0.0,3311.0
93.0,894.0,1125.0,1263.0,1125.0,4407.0,0.0,3513.0
89.0,870.0,1125.0,1360.0,1125.0,4480.0,0.0,3610.0
101.0,980.0,1125.0,1260.0,1125.0,4490.0,0.0,3510.0
104.0,1010.0,1125.0,1257.0,1125.0,4517.0,0.0,3507.0
149.0,1456.0,875.0,1315.0,875.0,4521.0,0.0,3065.0
156.0,1529.0,875.0,1268.0,875.0,4547.0,0.0,3018.0
112.0,1090.0,1000.0,1612.0,1000.0,4702.0,0.0,3612.0
113.0,1099.0,1000.0,1616.0,1000.0,4715.0,0.0,3616.0
114.0,1109.0,1000.0,1615.0,1000.0,4724.0,0.0,3615.0
121.0,1175.0,500.0,2550.0,500.0,4725.0,0.0,3550.0
155.0,1523.0,1000.0,1243.0,1000.0,4766.0,0.0,3243.0
159.0,1554.0,875.0,1522.0,875.0,4826.0,0.0,3272.0
157.0,1537.0,875.0,1552.0,875.0,4839.0,0.0,3302.0
90.0,875.0,1125.0,1888.0,1125.0,5013.0,0.0,4138.0
148.0,1445.0,1125.0,1389.0,1125.0,5084.0,0.0,3639.0
115.0,1116.0,1125.0,1739.0,1125.0,5105.0,0.0,3989.0
78.0,760.0,1125.0,2196.0,1125.0,5206.0,0.0,4446.0
162.0,1585.0,1125.0,1634.0,1125.0,5469.0,0.0,3884.0
163.0,1599.0,250.0,3463.0,250.0,5562.0,0.0,3963.0
53.0,511.0,750.0,3657.0,750.0,5668.0,0.0,5157.0
154.0,1514.0,1125.0,1962.0,1125.0,5726.0,0.0,4212.0
92.0,885.0,1000.0,2863.0,1000.0,5748.0,0.0,4863.0
153.0,1508.0,875.0,2729.0,875.0,5987.0,0.0,4479.0
8.0,81.0,1125.0,3858.0,1125.0,6189.0,0.0,6108.0
122.0,1188.0,1000.0,3039.0,1000.0,6227.0,0.0,5039.0
21.0,209.0,875.0,4526.0,875.0,6485.0,0.0,6276.0
171.0,1698.0,500.0,646.0,500.0,6485.0,3141.0,4787.0
