id,submit,wait in,input,wait run,run,wait out,output,complete,wait,response
16.0,146.0,0.0,375.0,0.0,835.0,0.0,375.0,1731.0,0.0,1585.0
80.0,786.0,0.0,125.0,0.0,634.0,0.0,250.0,1795.0,0.0,1009.0
18.0,164.0,0.0,750.0,0.0,702.0,0.0,250.0,1866.0,0.0,1702.0
86.0,841.0,0.0,750.0,0.0,496.0,0.0,125.0,2212.0,0.0,1371.0
51.0,497.0,0.0,750.0,0.0,648.0,0.0,375.0,2270.0,0.0,1773.0
100.0,999.0,0.0,625.0,0.0,398.0,0.0,375.0,2397.0,0.0,1398.0
111.0,1105.0,0.0,250.0,0.0,633.0,0.0,500.0,2488.0,0.0,1383.0
91.0,900.0,0.0,375.0,0.0,782.0,0.0,500.0,2557.0,0.0,1657.0
108.0,1068.0,0.0,375.0,0.0,500.0,0.0,625.0,2568.0,0.0,1500.0
95.0,948.0,0.0,375.0,0.0,870.0,0.0,500.0,2693.0,0.0,1745.0
72.0,695.0,0.0,625.0,0.0,654.0,0.0,750.0,2724.0,0.0,2029.0
97.0,971.0,0.0,125.0,0.0,1034.0,0.0,625.0,2755.0,0.0,1784.0
101.0,1005.0,0.0,625.0,0.0,260.0,0.0,875.0,2765.0,0.0,1760.0
103.0,1028.0,0.0,250.0,0.0,746.0,0.0,875.0,2899.0,0.0,1871.0
191.0,1863.0,0.0,375.0,0.0,296.0,0.0,375.0,2909.0,0.0,1046.0
29.0,270.0,0.0,500.0,0.0,1150.0,0.0,1000.0,2920.0,0.0,2650.0
96.0,957.0,0.0,1000.0,0.0,775.0,0.0,250.0,2982.0,0.0,2025.0
114.0,1137.0,0.0,250.0,0.0,1240.0,0.0,375.0,3002.0,0.0,1865.0
182.0,1772.0,0.0,125.0,0.0,1010.0,0.0,125.0,3032.0,0.0,1260.0
79.0,778.0,0.0,750.0,0.0,763.0,0.0,750.0,3041.0,0.0,2263.0
99.0,995.0,0.0,125.0,0.0,967.0,0.0,1000.0,3087.0,0.0,2092.0
17.0,156.0,0.0,500.0,0.0,1901.0,0.0,625.0,3182.0,0.0,3026.0
112.0,1120.0,0.0,375.0,0.0,737.0,0.0,1000.0,3232.0,0.0,2112.0
10.0,100.0,0.0,250.0,0.0,1786.0,0.0,1125.0,3261.0,0.0,3161.0
105.0,1050.0,0.0,1000.0,0.0,1123.0,0.0,125.0,3298.0,0.0,2248.0
107.0,1063.0,0.0,875.0,0.0,621.0,0.0,750.0,3309.0,0.0,2246.0
93.0,926.0,0.0,625.0,0.0,1013.0,0.0,875.0,3439.0,0.0,2513.0
78.0,769.0,0.0,125.0,0.0,1696.0,0.0,875.0,3465.0,0.0,2696.0
148.0,1464.0,0.0,1000.0,0.0,639.0,0.0,375.0,3478.0,0.0,2014.0
115.0,1146.0,0.0,875.0,0.0,739.0,0.0,750.0,3510.0,0.0,2364.0
149.0,1477.0,0.0,125.0,0.0,815.0,0.0,1125.0,3542.0,0.0,2065.0
183.0,1786.0,0.0,625.0,349.0,773.0,0.0,125.0,3658.0,349.0,1872.0
175.0,1708.0,0.0,500.0,0.0,1272.0,0.0,250.0,3730.0,0.0,2022.0
90.0,887.0,0.0,1000.0,0.0,1638.0,0.0,250.0,3775.0,0.0,2888.0
190.0,1855.0,0.0,250.0,0.0,1329.0,0.0,375.0,3809.0,0.0,1954.0
171.0,1673.0,0.0,750.0,0.0,771.0,0.0,625.0,3819.0,0.0,2146.0
210.0,2080.0,0.0,125.0,0.0,1145.0,0.0,500.0,3850.0,0.0,1770.0
173.0,1693.0,0.0,500.0,0.0,550.0,0.0,1125.0,3868.0,0.0,2175.0
113.0,1130.0,0.0,625.0,0.0,1616.0,0.0,500.0,3871.0,0.0,2741.0
206.0,2030.0,0.0,125.0,0.0,1366.0,0.0,375.0,3896.0,0.0,1866.0
262.0,2596.0,0.0,250.0,257.0,349.0,0.0,500.0,3952.0,257.0,1356.0
89.0,876.0,0.0,875.0,0.0,1110.0,0.0,1125.0,3986.0,0.0,3110.0
155.0,1536.0,0.0,875.0,0.0,618.0,0.0,1000.0,4029.0,0.0,2493.0
9.0,93.0,0.0,1125.0,0.0,1690.0,0.0,1125.0,4033.0,0.0,3940.0
104.0,1039.0,0.0,1000.0,0.0,882.0,0.0,1125.0,4046.0,0.0,3007.0
109.0,1080.0,0.0,1000.0,0.0,1121.0,0.0,1000.0,4201.0,0.0,3121.0
157.0,1551.0,0.0,750.0,0.0,1177.0,0.0,750.0,4228.0,0.0,2677.0
255.0,2523.0,0.0,250.0,135.0,1200.0,0.0,125.0,4233.0,135.0,1710.0
263.0,2604.0,0.0,125.0,132.0,754.0,0.0,625.0,4240.0,132.0,1636.0
122.0,1207.0,0.0,500.0,0.0,2164.0,0.0,375.0,4246.0,0.0,3039.0
269.0,2663.0,0.0,125.0,0.0,396.0,0.0,1125.0,4309.0,0.0,1646.0
154.0,1524.0,0.0,875.0,20.0,1462.0,0.0,500.0,4381.0,20.0,2857.0
92.0,914.0,0.0,250.0,0.0,2738.0,0.0,500.0,4402.0,0.0,3488.0
8.0,81.0,0.0,375.0,0.0,3233.0,0.0,750.0,4439.0,0.0,4358.0
187.0,1820.0,0.0,625.0,462.0,897.0,0.0,750.0,4554.0,462.0,2734.0
174.0,1700.0,0.0,750.0,921.0,1086.0,0.0,125.0,4582.0,921.0,2882.0
189.0,1843.0,0.0,375.0,0.0,1270.0,0.0,1125.0,4613.0,0.0,2770.0
156.0,1545.0,0.0,750.0,0.0,1518.0,0.0,875.0,4688.0,0.0,3143.0
242.0,2399.0,0.0,250.0,272.0,1757.0,0.0,125.0,4803.0,272.0,2404.0
178.0,1737.0,0.0,1000.0,1077.0,509.0,0.0,500.0,4823.0,1077.0,3086.0
177.0,1728.0,0.0,875.0,875.0,756.0,0.0,625.0,4859.0,875.0,3131.0
256.0,2537.0,0.0,875.0,0.0,702.0,0.0,750.0,4864.0,0.0,2327.0
215.0,2137.0,0.0,375.0,0.0,1999.0,0.0,375.0,4886.0,0.0,2749.0
214.0,2123.0,0.0,375.0,0.0,1771.0,0.0,625.0,4894.0,0.0,2771.0
186.0,1814.0,0.0,875.0,1124.0,1009.0,0.0,250.0,5072.0,1124.0,3258.0
150.0,1487.0,0.0,500.0,0.0,2872.0,0.0,250.0,5109.0,0.0,3622.0
217.0,2152.0,0.0,375.0,951.0,633.0,0.0,1000.0,5111.0,951.0,2959.0
153.0,1512.0,0.0,375.0,0.0,2729.0,0.0,500.0,5116.0,0.0,3604.0
213.0,2106.0,0.0,500.0,872.0,1613.0,0.0,125.0,5216.0,872.0,3110.0
121.0,1199.0,0.0,875.0,0.0,2800.0,0.0,375.0,5249.0,0.0,4050.0
6.0,68.0,0.0,125.0,0.0,4153.0,0.0,1000.0,5346.0,0.0,5278.0
261.0,2585.0,0.0,1000.0,104.0,1286.0,0.0,500.0,5475.0,104.0,2890.0
180.0,1754.0,0.0,875.0,851.0,883.0,0.0,1125.0,5488.0,851.0,3734.0
94.0,939.0,0.0,1125.0,0.0,2436.0,0.0,1000.0,5500.0,0.0,4561.0
241.0,2388.0,0.0,750.0,0.0,1250.0,0.0,1125.0,5513.0,0.0,3125.0
216.0,2142.0,0.0,500.0,879.0,1744.0,0.0,250.0,5515.0,879.0,3373.0
258.0,2558.0,0.0,875.0,92.0,1520.0,0.0,500.0,5545.0,92.0,2987.0
209.0,2072.0,0.0,375.0,903.0,1121.0,0.0,1125.0,5596.0,903.0,3524.0
161.0,1586.0,0.0,1125.0,1102.0,716.0,0.0,1125.0,5654.0,1102.0,4068.0
73.0,707.0,0.0,500.0,0.0,3989.0,0.0,500.0,5696.0,0.0,4989.0
181.0,1766.0,0.0,1000.0,1597.0,983.0,0.0,375.0,5721.0,1597.0,3955.0
396.0,3978.0,0.0,625.0,0.0,645.0,0.0,500.0,5748.0,0.0,1770.0
87.0,855.0,0.0,375.0,0.0,3914.0,0.0,750.0,5894.0,0.0,5039.0
417.0,4181.0,0.0,500.0,0.0,465.0,0.0,750.0,5896.0,0.0,1715.0
265.0,2628.0,0.0,250.0,295.0,1866.0,0.0,875.0,5914.0,295.0,3286.0
260.0,2576.0,0.0,875.0,74.0,1280.0,0.0,1125.0,5930.0,74.0,3354.0
110.0,1094.0,0.0,125.0,0.0,4651.0,0.0,125.0,5995.0,0.0,4901.0
230.0,2266.0,0.0,500.0,1691.0,1117.0,0.0,500.0,6074.0,1691.0,3808.0
145.0,1444.0,0.0,625.0,0.0,3790.0,0.0,250.0,6109.0,0.0,4665.0
448.0,4481.0,0.0,500.0,0.0,571.0,0.0,625.0,6177.0,0.0,1696.0
484.0,4875.0,0.0,500.0,0.0,686.0,0.0,125.0,6186.0,0.0,1311.0
460.0,4586.0,0.0,375.0,0.0,444.0,0.0,875.0,6280.0,0.0,1694.0
53.0,515.0,0.0,875.0,0.0,3782.0,0.0,1125.0,6297.0,0.0,5782.0
496.0,5001.0,0.0,375.0,0.0,834.0,0.0,125.0,6335.0,0.0,1334.0
483.0,4850.0,0.0,375.0,0.0,622.0,0.0,500.0,6347.0,0.0,1497.0
481.0,4833.0,0.0,250.0,0.0,645.0,0.0,625.0,6353.0,0.0,1520.0
416.0,4170.0,0.0,875.0,127.0,1056.0,0.0,125.0,6353.0,127.0,2183.0
405.0,4066.0,0.0,375.0,0.0,951.0,0.0,1000.0,6392.0,0.0,2326.0
102.0,1019.0,0.0,250.0,0.0,4028.0,0.0,1125.0,6422.0,0.0,5403.0
228.0,2247.0,0.0,625.0,1657.0,901.0,0.0,1000.0,6430.0,1657.0,4183.0
507.0,5114.0,0.0,375.0,0.0,579.0,0.0,375.0,6443.0,0.0,1329.0
219.0,2170.0,0.0,125.0,0.0,3781.0,0.0,375.0,6451.0,0.0,4281.0
21.0,205.0,0.0,750.0,0.0,4401.0,0.0,1125.0,6481.0,0.0,6276.0
98.0,983.0,0.0,250.0,0.0,4780.0,0.0,500.0,6513.0,0.0,5530.0
268.0,2657.0,0.0,625.0,599.0,2138.0,0.0,500.0,6519.0,599.0,3862.0
458.0,4575.0,0.0,1125.0,0.0,704.0,0.0,125.0,6529.0,0.0,1954.0
487.0,4902.0,0.0,1000.0,0.0,512.0,0.0,125.0,6539.0,0.0,1637.0
185.0,1805.0,0.0,875.0,1124.0,1620.0,0.0,1125.0,6549.0,1124.0,4744.0
172.0,1683.0,0.0,750.0,0.0,3775.0,0.0,375.0,6583.0,0.0,4900.0
223.0,2203.0,0.0,375.0,0.0,3900.0,0.0,125.0,6603.0,0.0,4400.0
457.0,4564.0,0.0,625.0,0.0,954.0,0.0,500.0,6643.0,0.0,2079.0
447.0,4472.0,0.0,625.0,0.0,1091.0,0.0,500.0,6688.0,0.0,2216.0
163.0,1603.0,0.0,625.0,0.0,3463.0,0.0,1000.0,6691.0,0.0,5088.0
451.0,4502.0,0.0,375.0,0.0,1193.0,0.0,625.0,6695.0,0.0,2193.0
135.0,1334.0,0.0,1000.0,83.0,3782.0,0.0,500.0,6699.0,83.0,5365.0
486.0,4900.0,0.0,375.0,0.0,1062.0,0.0,375.0,6712.0,0.0,1812.0
454.0,4529.0,0.0,1000.0,0.0,976.0,0.0,250.0,6755.0,0.0,2226.0
391.0,3934.0,0.0,375.0,0.0,1469.0,0.0,1000.0,6778.0,0.0,2844.0
490.0,4932.0,0.0,250.0,596.0,750.0,0.0,250.0,6778.0,596.0,1846.0
390.0,3931.0,0.0,875.0,233.0,626.0,0.0,1125.0,6790.0,233.0,2859.0
510.0,5136.0,0.0,375.0,0.0,561.0,0.0,750.0,6822.0,0.0,1686.0
485.0,4890.0,0.0,250.0,0.0,558.0,0.0,1125.0,6823.0,0.0,1933.0
202.0,1994.0,0.0,375.0,50.0,4283.0,0.0,125.0,6827.0,50.0,4833.0
