id,submit,input,run,output,complete,wait,response
88.0,77.0,7600.0,11273.0,7600.0,26550.0,0.0,26473.0
3.0,3.0,6400.0,13961.0,6400.0,26764.0,0.0,26761.0
115.0,101.0,8800.0,9414.0,8800.0,27115.0,0.0,27014.0
154.0,142.0,8800.0,9637.0,8800.0,27379.0,0.0,27237.0
86.0,75.0,9200.0,9321.0,9200.0,27796.0,0.0,27721.0
153.0,138.0,10000.0,11854.0,10000.0,31992.0,0.0,31854.0
158.0,147.0,10800.0,11475.0,10800.0,33222.0,0.0,33075.0
24.0,21.0,9200.0,15464.0,9200.0,33885.0,0.0,33864.0
96.0,84.0,12000.0,12275.0,12000.0,36359.0,0.0,36275.0
157.0,145.0,12000.0,12677.0,12000.0,36822.0,0.0,36677.0
116.0,102.0,11200.0,14856.0,11200.0,37358.0,0.0,37256.0
89.0,77.0,13200.0,13435.0,13200.0,39912.0,0.0,39835.0
9.0,7.0,13200.0,13765.0,13200.0,40172.0,0.0,40165.0
80.0,69.0,13600.0,13734.0,13600.0,41003.0,0.0,40934.0
68.0,62.0,10000.0,21067.0,10000.0,41129.0,0.0,41067.0
94.0,81.0,13200.0,15011.0,13200.0,41492.0,0.0,41411.0
35.0,29.0,12000.0,18011.0,12000.0,42040.0,0.0,42011.0
79.0,68.0,14000.0,14138.0,14000.0,42206.0,0.0,42138.0
4.0,5.0,9200.0,24172.0,9200.0,42577.0,0.0,42572.0
137.0,124.0,10800.0,21788.0,10800.0,43512.0,0.0,43388.0
107.0,92.0,14800.0,14921.0,14800.0,44613.0,0.0,44521.0
78.0,67.0,14800.0,15871.0,14800.0,45538.0,0.0,45471.0
141.0,128.0,11600.0,22599.0,11600.0,45927.0,0.0,45799.0
156.0,143.0,15200.0,15593.0,15200.0,46136.0,0.0,45993.0
111.0,96.0,15600.0,15733.0,15600.0,47029.0,0.0,46933.0
51.0,47.0,15600.0,15873.0,15600.0,47120.0,0.0,47073.0
140.0,127.0,12000.0,23019.0,12000.0,47146.0,0.0,47019.0
