id,submit,wait in,input,wait run,run,wait out,output,complete,wait,response
9.0,5.0,0.0,125.0,0.0,4690.0,100.0,3250.0,8170.0,100.0,8165.0
96.0,89.0,0.0,250.0,4315.0,4025.0,58.0,3125.0,11862.0,4373.0,11773.0
72.0,59.0,0.0,125.0,4426.0,7029.0,0.0,375.0,12014.0,4426.0,11955.0
51.0,44.0,0.0,500.0,8610.0,648.0,539.0,4875.0,15216.0,9149.0,15172.0
3.0,3.0,0.0,375.0,4304.0,8311.0,2114.0,2000.0,17107.0,6418.0,17104.0
35.0,30.0,0.0,250.0,4350.0,8136.0,2281.0,3750.0,18797.0,6631.0,18767.0
80.0,67.0,0.0,750.0,8395.0,4384.0,1584.0,3750.0,18930.0,9979.0,18863.0
122.0,114.0,0.0,750.0,8383.0,7789.0,7.0,2625.0,19668.0,8390.0,19554.0
90.0,79.0,0.0,1125.0,12304.0,6388.0,0.0,875.0,20771.0,12304.0,20692.0
91.0,81.0,0.0,875.0,8329.0,2907.0,2656.0,6250.0,21098.0,10985.0,21017.0
108.0,103.0,0.0,1000.0,11090.0,6750.0,0.0,5500.0,24443.0,11090.0,24340.0
25.0,21.0,0.0,1000.0,8293.0,9756.0,651.0,5250.0,24971.0,8944.0,24950.0
79.0,66.0,0.0,1500.0,15356.0,4513.0,14930.0,3250.0,39615.0,30286.0,39549.0
70.0,58.0,0.0,875.0,8314.0,11383.0,15082.0,6500.0,42212.0,23396.0,42154.0
88.0,77.0,0.0,1375.0,14942.0,6048.0,22020.0,1625.0,46087.0,36962.0,46010.0
103.0,97.0,0.0,1500.0,16259.0,6371.0,20453.0,3500.0,48180.0,36712.0,48083.0
26.0,22.0,0.0,1375.0,14992.0,6421.0,21745.0,4375.0,48930.0,36737.0,48908.0
117.0,111.0,0.0,875.0,8301.0,12567.0,22490.0,5625.0,49969.0,30791.0,49858.0
53.0,45.0,0.0,1375.0,14969.0,5282.0,21916.0,6500.0,50087.0,36885.0,50042.0
39.0,34.0,0.0,375.0,8745.0,17499.0,28158.0,3375.0,58186.0,36903.0,58152.0
74.0,61.0,0.0,1625.0,19787.0,10409.0,24291.0,2750.0,58923.0,44078.0,58862.0
48.0,40.0,0.0,1250.0,15090.0,16175.0,23618.0,3500.0,59673.0,38708.0,59633.0
45.0,38.0,0.0,1500.0,15247.0,17671.0,21953.0,3375.0,59784.0,37200.0,59746.0
40.0,35.0,0.0,1500.0,14966.0,12412.0,26491.0,6375.0,61779.0,41457.0,61744.0
6.0,4.0,0.0,1500.0,14997.0,7903.0,30407.0,7125.0,61936.0,45404.0,61932.0
31.0,26.0,0.0,1750.0,21385.0,13435.0,19818.0,5750.0,62164.0,41203.0,62138.0
4.0,3.0,0.0,1750.0,19918.0,17847.0,23876.0,375.0,63769.0,43794.0,63766.0
115.0,110.0,0.0,2750.0,43477.0,2864.0,14708.0,375.0,64284.0,58185.0,64174.0
77.0,65.0,0.0,1500.0,15356.0,31487.0,15441.0,875.0,64724.0,30797.0,64659.0
210.0,205.0,5800.0,625.0,43772.0,770.0,12995.0,625.0,64792.0,62567.0,64587.0
86.0,76.0,0.0,2125.0,43761.0,2996.0,14951.0,1250.0,65159.0,58712.0,65083.0
69.0,58.0,0.0,1875.0,29119.0,16161.0,16480.0,2375.0,66068.0,45599.0,66010.0
78.0,66.0,0.0,3000.0,43421.0,5696.0,12402.0,1750.0,66335.0,55823.0,66269.0
38.0,32.0,0.0,1625.0,16243.0,23592.0,21954.0,3375.0,66821.0,38197.0,66789.0
228.0,227.0,6240.0,1125.0,44729.0,1276.0,13071.0,500.0,67168.0,64040.0,66941.0
154.0,153.0,3578.0,1875.0,43191.0,3587.0,12378.0,2500.0,67262.0,59147.0,67109.0
29.0,25.0,0.0,6000.0,43607.0,3025.0,12438.0,2250.0,67345.0,56045.0,67320.0
116.0,110.0,0.0,2375.0,43602.0,7156.0,12842.0,1375.0,67460.0,56444.0,67350.0
101.0,94.0,0.0,5875.0,43411.0,385.0,14199.0,3500.0,67464.0,57610.0,67370.0
24.0,21.0,0.0,2875.0,43554.0,8139.0,12709.0,375.0,67673.0,56263.0,67652.0
111.0,107.0,0.0,4875.0,42855.0,2883.0,13319.0,3750.0,67789.0,56174.0,67682.0
162.0,158.0,4204.0,750.0,42998.0,6759.0,12547.0,375.0,67791.0,59749.0,67633.0
94.0,87.0,0.0,4125.0,43001.0,4061.0,12986.0,3625.0,67885.0,55987.0,67798.0
89.0,79.0,0.0,2875.0,43532.0,1985.0,15416.0,4125.0,68012.0,58948.0,67933.0
73.0,60.0,0.0,5000.0,42959.0,4864.0,13162.0,2000.0,68045.0,56121.0,67985.0
241.0,244.0,6496.0,500.0,44279.0,1375.0,13174.0,2125.0,68193.0,63949.0,67949.0
1.0,1.0,0.0,1875.0,28671.0,13935.0,18976.0,5000.0,68458.0,47647.0,68457.0
107.0,103.0,0.0,2375.0,43603.0,4246.0,13637.0,4625.0,68589.0,57240.0,68486.0
109.0,106.0,0.0,3625.0,43199.0,5371.0,12402.0,4250.0,68953.0,55601.0,68847.0
179.0,171.0,4889.0,500.0,43237.0,5789.0,12712.0,1750.0,69048.0,60838.0,68877.0
8.0,5.0,0.0,4750.0,42897.0,6233.0,12783.0,2500.0,69168.0,55680.0,69163.0
158.0,155.0,4019.0,2875.0,44017.0,2050.0,12969.0,3375.0,69460.0,61005.0,69305.0
18.0,9.0,0.0,4250.0,42954.0,2202.0,14496.0,5625.0,69536.0,57450.0,69527.0
153.0,152.0,3579.0,3125.0,43907.0,4104.0,12549.0,2375.0,69791.0,60035.0,69639.0
184.0,175.0,5122.0,3750.0,48465.0,882.0,11073.0,500.0,69967.0,64660.0,69792.0
32.0,27.0,0.0,2000.0,29079.0,7246.0,25042.0,6750.0,70144.0,54121.0,70117.0
205.0,198.0,5690.0,1125.0,44006.0,880.0,12686.0,5625.0,70210.0,62382.0,70012.0
97.0,91.0,0.0,2250.0,43697.0,1784.0,16027.0,6500.0,70349.0,59724.0,70258.0
185.0,175.0,5122.0,125.0,43172.0,6870.0,12325.0,2750.0,70539.0,60619.0,70364.0
